player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Kevin McGill,26334,CB,E MICHIGAN,11,6,8.4,1,0,160,79.5,72.5,50.6,68.9,48.8,57.5,21.7,5,5,375,387,1.3,5,12
Jalen Phelps,26343,S,E MICHIGAN,4,2,15.0,0,0,160,59.9,62.0,82.0,,65.2,66.5,12.5,1,0,79,83,1.3,1,5
Clay Holford,26345,ED,E MICHIGAN,3,1,2.5,0,0,160,88.9,66.0,81.2,60.7,55.7,78.7,0.0,0,0,38,41,2.6,1,2
Brody Hoying,26348,S,E MICHIGAN,13,9,5.0,1,1,160,75.7,77.0,55.3,77.4,76.5,60.9,15.1,8,1,348,359,4.6,16,36
Kevin McCrary,26396,DI,FAU,12,3,1.0,0,0,165,55.9,64.4,82.5,63.8,65.4,39.3,25.0,2,0,103,106,2.9,3,3
Jabari Zuniga,26449,ED,FLORIDA,6,3,0.0,0,0,163,,87.5,0.0,85.7,90.3,49.8,15.4,2,4,62,64,11.3,7,8
Luke Ancrum,26450,ED,FLORIDA,12,7,1.8,1,0,163,63.8,63.4,0.0,58.8,71.3,69.5,11.1,2,4,114,117,5.3,6,9
Kylan Johnson,26452,LB,PITTSBURGH,13,3,2.9,0,1,268,81.1,75.3,83.5,68.2,67.7,63.8,18.9,7,0,292,301,6.2,18,27
Jeremiah Moon,26453,ED,FLORIDA,9,3,2.9,1,0,163,76.5,68.5,65.6,68.0,58.6,76.4,10.5,2,1,162,169,6.2,10,14
David Reese II,26454,LB,FLORIDA,13,11,2.9,0,0,163,62.1,69.4,83.0,51.4,78.3,66.7,12.1,8,0,248,255,12.5,31,47
Jeawon Taylor,26455,S,FLORIDA,11,7,7.6,0,0,163,63.9,66.1,83.8,64.6,67.5,51.8,21.7,5,0,177,181,2.8,5,11
Marcus Lewis,26457,CB,MARYLAND,10,1,5.9,0,0,215,57.9,61.4,86.0,56.5,74.6,57.2,20.0,2,2,282,285,1.1,3,7
Zack Mesday,26506,ED,TEMPLE,13,7,3.7,0,0,306,72.2,68.3,67.2,59.6,70.7,75.1,0.0,0,1,192,194,4.2,8,12
David Curry,26573,LB,GA TECH,12,6,3.8,0,1,176,65.2,64.4,54.1,64.2,62.5,71.2,14.9,13,1,404,412,10.1,41,68
Rojesterman Farris II,26587,CB,HAWAII,14,7,15.2,0,0,180,75.7,77.9,86.5,58.1,84.0,90.0,3.7,1,3,406,420,2.0,8,19
Solomon Matautia,26631,LB,HAWAII,15,21,4.1,0,0,180,64.2,65.0,89.7,64.7,63.4,65.7,12.7,9,0,387,398,5.7,22,41
Patrick Nelson,26699,LB,SMU,13,9,2.7,0,0,287,63.9,74.5,65.2,90.7,73.7,60.9,13.0,7,2,404,410,7.4,30,38
Cam Watkins,26701,CB,VANDERBILT,12,2,12.6,0,0,333,59.5,61.0,18.5,54.6,71.4,55.4,0.0,0,1,171,173,1.2,2,11
Reggie Walker,26885,ED,KANSAS ST,13,6,3.8,0,0,199,61.1,69.7,73.0,72.0,64.1,49.8,17.9,5,1,239,244,5.0,12,17
Trey Dishon,26938,DI,KANSAS ST,13,4,2.1,0,0,199,60.6,74.2,67.7,68.9,74.6,59.8,13.0,3,1,258,263,5.4,14,16
Dominic Hill,26945,DI,KENT STATE,8,2,2.3,0,0,201,72.0,65.4,16.2,67.8,64.8,41.9,22.2,4,3,174,175,5.2,9,12
Jamal Parker Jr.,26946,CB,KENT STATE,13,5,11.7,3,0,201,68.4,67.7,50.4,50.0,68.8,76.1,12.5,5,9,463,470,1.7,8,30
Michael Divinity Jr.,27046,ED,LSU,6,5,3.1,0,1,211,54.6,65.8,39.8,61.2,81.6,74.6,7.1,1,1,75,76,8.0,6,8
Isaiah Rodgers,27069,CB,UMASS,12,0,10.4,0,1,216,65.5,67.1,85.4,60.0,70.2,57.2,10.0,2,2,347,349,1.2,4,18
Jonathan Wilson,27127,DI,MEMPHIS,14,6,1.3,0,0,218,59.5,73.6,85.0,77.1,66.7,35.1,21.7,5,0,264,271,3.4,9,12
Bryce Huff,27128,ED,MEMPHIS,14,9,2.0,0,0,218,66.2,89.0,65.0,90.3,78.6,68.7,6.5,3,2,366,372,6.6,24,34
Austin Hall,27129,LB,MEMPHIS,13,8,3.0,0,0,218,76.7,68.9,87.9,73.2,54.5,77.8,12.2,6,0,357,363,7.3,26,35
Raequan Williams,27300,DI,MICH STATE,13,10,1.3,1,0,223,60.8,74.0,40.1,76.9,69.6,28.5,25.6,11,3,246,251,8.1,20,22
Reuben Jones,27371,ED,W VIRGINIA,12,9,1.2,1,0,343,58.5,62.1,52.8,65.6,59.5,81.8,0.0,0,2,260,265,4.2,11,16
Lavert Hill,27374,CB,MICHIGAN,12,1,6.0,1,0,222,72.0,69.5,85.7,53.9,56.1,85.8,0.0,0,9,277,282,0.0,0,2
Michael Dwumfour,27376,DI,MICHIGAN,9,1,1.8,0,0,222,59.9,74.2,17.4,75.2,73.6,47.9,22.2,2,2,105,109,5.7,6,6
Joshua Uche,27379,ED,MICHIGAN,13,3,1.2,2,0,222,64.1,84.2,21.1,91.4,68.8,65.7,16.7,4,3,187,191,8.0,15,17
Damon Moore,27393,DI,FIU,12,4,2.6,0,1,166,60.0,70.3,18.9,69.2,71.2,53.7,14.3,2,2,117,121,3.4,4,8
Ronnell Perkins,27441,LB,MISSOURI,12,5,5.0,0,0,229,75.8,65.1,89.1,62.2,48.3,42.9,28.6,6,0,153,153,3.3,5,10
DeMarkus Acy,27442,CB,MISSOURI,10,1,3.6,1,0,229,61.2,63.0,84.3,52.6,69.8,32.9,33.3,3,1,212,216,1.9,4,5
