player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Ja'Quain Blakely,42579,DI,TENNESSEE,13,1,0,,0,0,307,0,0,60.0,69.5,80.4,59.0,76.3,48.1,0,5,0,0,,20.0,2,0,0,0.0,0,0,0,0,0,0,129,129,37,76,12,4,0,0,88,41,0,6,7,0,0,5,0,0,0,
Aaron Ramseur,42585,LB,E CAROLINA,8,8,0,60.0,0,0,156,0,0,59.6,77.1,77.8,72.1,84.2,80.3,0,2,0,0,17,6.3,2,0,0,88.8,3,2,0,169,1,79,174,2,0,1,1,0,0,172,5,90,2,19,22,4,5,4,0,44,36,14.7
Leevel Tatum III,42587,ED,FRESNO ST,12,2,0,,0,0,169,0,0,53.4,60.6,83.0,61.2,61.4,67.9,1,12,0,0,,15.4,2,0,0,0.0,0,0,0,0,0,3,237,236,4,22,127,83,0,1,150,84,0,5,9,0,0,13,0,0,0,
Juwan Ross,42588,DI,DOMINION,8,11,1,,0,0,263,0,0,59.1,66.8,12.9,61.0,74.5,76.9,1,9,0,0,,7.4,2,0,3,0.0,0,3,0,6,0,0,328,322,25,239,0,58,0,6,172,156,0,16,14,4,0,13,0,0,0,
Parker Higgins,42589,LB,HAWAII,1,0,0,,0,0,180,0,0,62.8,57.9,69.0,,59.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,12,0,10,12,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,
Malik Barrow,42596,ED,UCF,4,0,0,,0,0,323,0,0,60.0,72.9,77.0,76.2,62.0,41.9,2,1,0,0,,33.3,1,0,0,0.0,0,0,0,0,0,0,39,39,0,0,36,3,0,0,20,19,0,1,2,1,0,3,0,0,0,
Taylor Riggins,42599,ED,BUFFALO,13,10,0,,0,1,126,3,0,63.4,87.4,87.4,90.1,74.8,75.3,7,20,0,0,,9.8,4,1,0,0.0,0,12,0,1,0,8,571,569,0,55,446,68,0,2,305,258,0,26,27,2,0,39,0,0,0,
Mikial Onu,42603,S,COLORADO,11,13,0,50.0,0,3,143,0,0,51.3,54.7,87.8,58.7,60.9,55.3,0,0,0,4,81,19.5,16,3,0,95.8,14,0,0,174,5,410,721,0,0,0,0,0,472,721,2,309,70,11,53,1,28,0,4,353,176,25.2
Tayler Hawkins,42606,S,S DIEGO ST,11,9,0,61.5,0,0,284,0,0,68.4,66.5,16.0,56.4,64.7,50.2,0,1,0,0,41,21.6,8,0,1,88.6,8,0,0,99,0,163,289,12,0,0,12,0,102,277,5,121,76,7,20,2,13,1,0,110,42,13.8
Lawrence White,42607,S,IOWA STATE,13,16,0,63.6,0,0,193,0,0,71.9,70.2,58.8,61.3,68.3,67.9,0,6,0,2,33,12.1,11,4,1,64.7,21,1,0,404,5,434,806,48,0,0,48,0,157,758,30,342,190,24,64,2,33,7,0,276,114,13.1
Therran Coleman,42611,CB,PITTSBURGH,5,0,0,33.3,0,0,268,0,0,69.6,69.8,77.3,,63.3,73.5,0,0,0,0,37,0.0,0,1,0,81.3,1,0,0,4,26,40,62,0,0,0,0,0,2,62,0,22,30,0,1,0,3,0,0,37,3,37.0
Caesar Williams,42613,CB,WISCONSIN,14,5,0,55.9,1,1,349,0,0,61.9,66.1,85.8,58.5,84.2,86.3,0,0,0,1,50,4.7,2,7,4,80.5,33,0,0,34,474,363,600,6,0,0,6,0,4,594,2,235,82,10,36,5,59,0,1,470,125,14.2
Isaiah Gilchrist,42614,CB,WASHINGTON,1,0,0,,0,0,340,0,0,62.7,63.4,73.2,,60.2,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,3,9,0,0,0,0,0,4,9,0,6,5,0,0,0,0,0,0,0,0,
McArthur Burnett,42617,CB,USF,2,0,0,,0,0,327,0,0,62.7,64.1,71.4,,62.2,,0,0,0,0,,,0,0,0,0.0,0,0,0,2,12,4,14,0,0,0,0,0,0,14,0,10,0,0,0,0,0,0,0,0,0,
Brandon Moore,42620,CB,UCF,1,1,0,20.0,0,0,323,0,0,61.2,61.8,76.6,,62.1,76.2,0,0,0,0,9,0.0,0,1,0,39.6,1,0,0,1,41,28,43,1,0,0,1,0,0,42,0,15,0,0,1,0,5,0,0,9,8,9.0
Justin Brown,42621,CB,MIDDLE TN,5,0,0,58.3,0,0,224,0,0,48.5,51.2,80.1,,62.6,47.5,0,0,0,0,29,28.6,2,2,1,137.2,7,0,0,15,141,80,167,0,0,0,0,0,0,167,0,87,11,1,5,0,12,0,2,135,19,19.3
Leighton McCarthy,42626,ED,FAU,14,5,0,66.7,0,0,165,0,0,64.7,67.8,88.8,58.6,72.9,79.8,4,8,0,0,6,9.7,3,0,0,71.5,2,7,0,62,0,47,490,427,0,1,415,11,0,63,253,190,0,21,23,6,3,19,0,10,2,5.0
Chacho Ulloa,42629,S,ARIZONA,1,1,0,100.0,0,0,109,0,0,62.2,66.0,75.2,,72.3,81.7,0,0,0,0,15,0.0,0,0,0,118.8,1,0,0,4,0,23,33,0,0,0,0,0,18,33,0,10,11,1,3,1,1,0,0,15,15,15.0
Tyler Coyle,42631,S,UCONN,11,17,0,57.6,0,2,146,0,0,81.0,77.9,45.1,49.2,75.0,71.6,0,2,1,1,43,14.0,13,10,1,103.5,19,0,0,338,16,300,606,2,0,0,2,0,171,604,9,297,78,23,63,4,33,2,3,283,139,14.9
Shaun Bradley,42632,LB,TEMPLE,13,18,1,71.9,0,1,306,1,0,63.6,69.2,11.6,62.7,74.8,74.5,6,9,0,0,37,11.6,13,2,3,108.2,23,1,0,744,1,417,842,3,0,0,3,0,3,839,66,359,90,53,81,6,32,16,1,275,153,12.0
Calvin Swenson,42636,S,MINNESOTA,3,0,0,,0,0,225,0,0,66.0,58.8,75.6,,45.3,28.4,0,0,0,0,,50.0,1,0,0,0.0,0,0,0,10,0,20,32,0,0,0,0,0,18,32,0,12,4,1,1,0,0,0,0,0,0,
Brandon Bouyer-Randle,42637,LB,MICH STATE,4,2,0,100.0,0,0,223,0,0,37.4,51.0,79.4,58.7,67.4,80.0,1,0,0,0,43,0.0,0,0,0,158.3,4,0,0,21,0,14,49,24,0,0,24,0,0,25,20,15,4,1,3,0,4,1,1,66,48,16.5
Devon Clarke,42640,S,SYRACUSE,4,1,0,,0,0,304,0,0,65.7,58.8,76.5,,46.7,74.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,7,0,16,41,0,0,0,0,0,19,41,0,25,15,0,0,0,0,0,0,0,0,
Joe Headen,42645,S,DOMINION,12,6,0,80.0,0,0,263,0,0,63.8,64.2,83.7,60.0,63.2,56.4,0,0,0,0,57,18.4,7,1,1,152.4,12,0,0,139,0,158,325,3,0,0,3,0,48,322,1,166,134,10,25,0,15,0,2,166,100,13.8
Broderick Harrell,42650,LB,UTEP,1,0,0,,0,0,330,0,0,,60.0,64.2,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
John Broussard,42651,S,MEMPHIS,5,0,0,33.3,0,0,218,0,0,66.5,61.1,79.1,52.2,45.9,65.7,0,1,0,0,36,33.3,2,0,0,59.0,2,0,0,18,16,59,91,0,0,0,0,0,27,91,2,30,30,3,4,0,6,1,0,42,15,21.0
Lawson Hall,42652,LB,NEVADA,13,19,0,56.3,0,0,239,0,0,80.4,78.2,49.5,68.6,69.6,75.7,1,6,0,2,19,9.1,6,1,1,57.0,9,2,0,559,0,252,566,4,0,0,4,0,0,562,27,287,3,21,41,1,16,9,1,103,58,11.4
Clifford Chattman,42657,CB,TEXAS A&M,7,7,1,46.4,0,0,312,0,0,58.6,61.3,85.3,81.8,59.0,43.0,1,2,0,1,31,25.0,6,3,1,57.1,13,0,0,18,6,101,229,14,0,0,14,0,0,215,8,120,191,5,11,0,28,3,1,130,113,10.0
Justin Strnad,42659,LB,WAKE,7,15,0,87.0,0,0,339,0,0,80.5,74.7,41.8,54.3,70.6,55.6,0,1,0,1,55,16.9,12,3,1,123.3,20,2,0,348,0,201,427,29,0,0,29,0,5,398,29,197,44,29,44,6,23,3,3,194,171,9.7
Tavante Beckett,42663,LB,MARSHALL,13,30,2,78.8,1,2,214,2,0,64.4,71.9,62.6,66.7,73.9,42.3,7,9,0,1,47,20.3,30,2,2,111.5,26,2,0,744,1,388,865,39,0,0,39,0,5,826,88,389,76,56,88,7,33,18,2,295,146,11.3
Stanley Green,42664,S,ILLINOIS,10,21,0,40.0,0,3,187,4,0,76.7,81.6,42.6,,83.9,71.5,0,0,0,1,18,13.3,12,1,1,59.6,2,0,0,192,3,238,575,1,0,0,1,0,327,574,0,337,52,20,57,2,5,0,1,29,3,14.5
Jake Ellington,42666,ED,ARMY,13,4,0,100.0,0,0,114,0,0,38.0,63.9,79.5,55.8,71.7,45.9,0,1,0,0,14,17.6,3,0,0,118.8,1,1,0,0,0,3,137,137,0,13,28,96,0,0,53,81,0,8,10,0,1,2,0,14,0,14.0
Dominique Ross,42667,LB,N CAROLINA,12,14,0,80.5,0,1,245,0,0,64.4,68.5,66.2,71.6,69.9,73.3,0,10,0,1,20,14.3,9,3,1,97.8,33,2,0,162,3,299,679,185,0,0,185,0,0,494,82,298,328,20,40,3,41,12,2,246,155,7.5
Mike Hampton,42669,CB,USF,12,5,0,61.4,0,0,327,0,0,60.6,59.0,56.3,59.0,53.3,67.2,0,0,0,0,39,13.8,8,3,4,97.3,35,0,0,56,730,362,829,10,0,0,10,0,0,819,2,465,33,17,45,2,57,0,2,443,173,12.7
Mike Palmer,42674,S,BOSTON COL,11,13,0,84.0,0,0,121,0,0,49.9,55.7,91.3,56.4,66.5,64.6,0,1,0,2,77,17.7,17,1,1,112.1,21,0,0,132,2,342,663,7,0,0,7,0,345,656,11,310,177,21,66,2,25,1,2,352,152,16.8
Jalen Walker,42675,CB,BOISE ST,14,7,0,48.7,0,0,120,0,0,83.2,79.3,0.0,43.3,71.3,62.9,0,0,1,1,46,14.3,8,10,6,68.5,38,0,0,80,643,425,743,8,0,0,8,0,11,735,7,311,1,10,41,2,78,0,2,423,106,11.1
Malik Antoine,42676,S,STANFORD,9,3,0,77.3,0,0,300,0,0,68.9,70.2,87.1,63.7,70.9,82.5,0,1,0,0,43,6.5,2,5,0,143.8,17,0,0,122,0,323,549,6,0,0,6,0,264,543,4,222,157,2,26,0,22,1,3,199,89,11.7
Isaiah Graham-Mobley,42679,LB,TEMPLE,8,7,0,70.0,0,1,306,1,0,65.2,69.9,81.3,59.9,71.6,65.3,1,6,0,0,20,13.0,6,0,0,94.6,7,0,0,219,0,114,265,3,0,0,2,1,0,262,21,130,42,20,33,5,10,7,0,82,32,11.7
Jordan Woods,42686,DI,FIU,13,2,0,,2,0,166,0,0,63.9,48.3,0.0,55.2,51.7,43.9,0,3,0,0,,25.0,2,0,5,0.0,0,0,0,1,0,0,324,323,173,147,0,3,0,1,162,162,0,4,4,0,0,3,0,0,0,
Tyreek Maddox-Williams,42694,LB,RUTGERS,12,7,0,74.1,0,0,278,0,0,59.6,56.1,58.8,52.2,54.6,73.0,0,5,0,0,24,9.3,4,2,1,107.5,20,1,0,170,3,205,510,173,0,0,173,0,0,337,66,239,164,16,32,5,27,6,1,203,140,10.2
Demetrius Cain,42697,LB,W KENTUCKY,9,0,0,100.0,0,0,346,0,0,51.5,37.4,78.9,52.3,32.2,77.1,0,0,0,0,30,0.0,0,0,0,118.8,2,0,0,26,0,17,47,20,0,0,20,0,0,27,12,18,0,2,3,0,2,0,0,53,57,26.5
Gerrit Choate,42702,LB,SMU,8,2,0,100.0,0,0,287,0,0,58.8,61.7,79.3,62.9,61.3,57.5,0,0,0,0,5,25.0,1,0,0,127.1,1,0,0,31,0,21,62,26,0,0,26,0,0,36,17,24,4,0,1,0,1,0,1,5,1,5.0
Shaq Smith,42707,ED,MARYLAND,11,5,2,66.7,1,0,215,0,0,60.2,63.3,56.3,58.7,67.2,80.8,7,9,0,0,18,4.3,1,1,2,88.2,2,1,0,7,0,28,536,526,0,4,512,10,0,10,237,271,2,14,17,3,3,17,0,22,19,11.0
Jeremy Darvin,42713,DI,W KENTUCKY,10,2,0,,0,0,346,0,0,63.1,73.1,30.4,78.3,67.2,62.0,6,4,0,1,,12.5,2,0,2,0.0,0,3,0,2,0,0,305,303,63,225,2,13,0,2,143,162,0,11,12,1,0,13,0,0,0,
Ryan Bowman,42714,ED,WASHINGTON,13,8,1,,1,2,340,0,0,44.6,72.6,25.5,72.4,76.7,46.0,0,23,0,1,,27.5,11,0,4,0.0,0,6,0,1,0,16,554,553,0,73,379,101,0,1,296,242,0,23,21,5,0,29,0,0,0,
Chauncey Golston,42718,ED,IOWA,13,11,5,,0,0,192,0,0,60.1,75.1,74.7,64.9,81.4,61.4,6,20,0,1,,15.5,9,0,1,0.0,0,2,0,14,0,9,755,741,0,111,480,150,0,14,453,293,0,27,38,9,0,28,0,0,0,
Collin Miller,42725,LB,NEBRASKA,12,9,2,82.1,0,2,238,0,0,63.3,67.4,83.5,72.0,65.3,71.0,2,3,0,0,25,12.1,8,0,0,95.1,23,2,0,407,2,213,505,21,0,0,21,0,0,484,44,248,75,21,49,4,28,7,0,191,154,8.3
Zach Hannibal,42732,CB,LA TECH,9,1,0,38.5,0,0,208,0,0,61.8,66.1,79.3,77.1,74.7,64.3,1,1,0,0,23,12.5,1,3,0,50.5,5,0,0,20,85,77,123,1,0,0,1,0,1,122,4,42,16,1,6,1,13,2,0,51,12,10.2
Myles Hudzick,42742,CB,DUKE,1,0,0,,0,0,154,0,0,,60.1,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Spencer Eason-Riddle,42747,LB,S CAROLINA,1,3,0,100.0,0,0,289,0,0,46.1,56.5,70.0,59.5,76.0,79.7,0,0,0,0,20,0.0,0,0,0,101.7,5,0,0,21,0,15,23,1,0,0,1,0,1,22,1,7,0,1,2,0,5,0,0,42,31,8.4
Osa Odighizuwa,42754,DI,UCLA,12,8,2,,2,0,324,0,0,58.9,80.8,41.8,79.1,80.6,63.9,3,21,0,0,,11.9,5,0,3,0.0,0,5,0,2,0,7,631,629,53,412,46,118,0,2,358,266,0,29,29,7,0,29,0,0,0,
Cameron Murray,42756,DI,OKLA STATE,13,6,3,,0,0,262,0,0,59.1,65.5,86.5,63.8,64.0,61.2,5,15,0,0,,13.0,3,0,0,0.0,0,2,0,2,0,3,629,626,170,227,71,158,0,3,345,281,0,15,14,2,0,22,0,0,0,
Carlos Becker III,42759,S,FLORIDA ST,9,6,0,66.7,0,1,167,0,0,54.4,62.0,0.0,81.6,73.1,81.2,0,0,0,0,34,5.6,1,0,3,137.5,4,2,0,49,2,87,151,11,0,0,11,0,58,140,11,53,31,4,11,0,6,2,2,58,22,14.5
Greg Ross,42760,CB,N CAROLINA,10,5,0,51.3,1,0,245,0,0,60.3,61.2,84.3,52.2,65.0,50.9,0,0,0,0,74,20.7,6,5,3,106.8,20,0,0,29,444,259,479,2,0,0,2,0,0,477,4,216,4,4,18,2,39,0,3,340,105,17.0
Nick Heninger,42766,ED,UTAH ST,13,4,1,80.0,0,1,329,2,0,58.3,67.6,86.1,68.5,64.9,29.2,5,11,0,0,12,27.8,10,1,0,85.0,4,6,0,13,2,27,370,346,3,18,272,53,0,24,155,188,9,22,22,5,5,22,0,22,18,5.5
Elijah Diarrassouba,42767,DI,APP STATE,13,3,0,,0,0,108,1,0,58.9,64.7,82.7,59.5,66.5,73.4,1,3,0,0,,6.3,1,0,0,0.0,0,2,0,1,0,2,384,383,0,102,27,254,0,1,182,200,0,10,12,2,0,6,0,0,0,
Lorenzo Dantzler,42768,ED,UTSA,12,4,1,100.0,0,0,331,0,0,60.8,70.9,38.5,70.2,70.7,79.1,3,18,0,0,20,5.3,1,0,2,118.8,3,6,0,0,0,8,344,344,0,22,306,16,0,0,174,162,0,15,14,2,3,27,0,40,21,13.3
Kailien Guillory,42769,ED,W MICHIGAN,13,2,0,100.0,0,0,347,0,0,78.0,65.4,84.1,60.5,62.0,52.3,1,4,0,0,0,27.3,3,0,0,79.2,1,1,0,3,0,5,218,215,52,3,153,7,0,3,136,77,0,4,6,0,1,6,0,0,3,0.0
DeMarcus Lloyd,42778,LB,AKRON,5,3,0,,0,0,102,0,0,62.3,68.7,71.8,59.8,68.0,82.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,27,0,2,28,0,0,0,0,0,0,28,1,25,0,3,5,1,0,0,0,0,0,
Markell Utsey,42779,DI,MISSOURI,12,4,0,,0,1,229,0,0,,62.8,0.0,55.0,73.1,66.1,1,7,0,0,,15.4,2,0,3,0.0,0,0,0,0,0,0,238,238,81,89,1,67,0,0,119,119,0,7,7,1,0,8,0,0,0,
Aymiel Fleming,42780,DI,HOUSTON,12,5,0,,0,0,182,0,0,57.9,61.7,69.0,52.8,68.0,58.5,0,4,0,0,,9.5,2,0,2,0.0,0,0,0,0,0,1,503,503,169,329,4,1,0,0,274,228,0,10,14,1,0,4,0,0,0,
Bryson Young,42790,ED,OREGON,13,15,0,100.0,0,0,264,1,0,58.3,64.6,90.1,58.1,69.6,64.3,1,14,0,1,33,14.1,9,0,0,118.8,8,3,0,79,7,107,534,429,0,0,428,1,0,105,206,221,19,26,40,4,8,18,1,106,100,13.3
Jay Woods,42791,CB,S ALABAMA,2,0,0,100.0,0,0,288,0,0,48.4,39.3,73.7,,50.8,73.5,0,0,0,0,41,0.0,0,0,0,118.8,1,0,0,1,10,5,12,0,0,0,0,0,0,12,0,7,0,0,1,0,1,0,0,41,3,41.0
Donavan Lynch,42795,ED,ARMY,9,2,0,50.0,1,1,114,0,0,37.8,64.1,45.0,65.0,76.3,70.3,1,4,0,0,7,14.3,3,0,1,56.3,2,2,0,38,3,31,230,165,0,0,165,0,0,65,46,153,23,10,16,3,4,7,0,12,0,6.0
Ajani Kerr,42797,CB,GA TECH,5,3,0,72.7,0,0,176,0,0,52.0,63.3,85.4,56.5,80.6,79.0,0,0,0,0,21,0.0,0,0,0,95.3,8,0,0,20,73,60,212,33,0,0,33,0,1,179,5,147,85,10,18,0,11,0,0,86,46,10.8
Shaka Toney,42806,ED,PENN STATE,13,9,0,100.0,2,0,266,1,0,76.1,81.3,44.4,79.9,75.0,74.5,2,33,0,0,5,12.5,4,1,3,87.5,1,8,0,4,0,20,606,598,0,7,576,15,0,8,340,246,3,23,19,1,1,43,0,5,0,5.0
Anthony Watts,42807,DI,PURDUE,11,10,0,,0,0,273,0,0,75.9,67.8,86.4,62.6,65.9,72.9,1,14,0,0,,5.7,2,0,0,0.0,0,2,0,1,0,0,583,582,159,392,8,23,0,1,289,294,0,18,23,6,0,17,0,0,0,
Marcus Strong,42814,CB,WASH STATE,13,8,0,65.1,0,0,341,0,0,70.8,69.3,57.6,62.9,63.0,48.5,0,1,0,2,86,18.4,14,4,6,113.9,41,1,0,112,694,447,863,20,0,0,20,0,4,843,9,407,33,16,54,2,63,2,5,670,350,16.3
Keeath Magee II,42816,LB,TEXAS A&M,1,0,0,100.0,0,0,312,0,0,35.6,30.1,71.7,,60.0,31.8,0,0,0,0,8,33.3,1,0,0,93.1,3,0,0,11,0,9,11,0,0,0,0,0,0,11,0,2,0,0,2,0,3,0,0,19,14,6.3
Mike Maskalunas,42820,LB,WISCONSIN,6,1,0,60.0,0,0,349,1,0,75.9,81.5,81.2,59.8,83.1,69.1,0,0,0,0,12,6.3,1,2,0,67.9,3,0,0,101,1,65,112,1,0,0,1,0,0,111,8,39,5,11,14,0,5,0,0,19,13,6.3
Chandon Hickerson,42822,ED,E CAROLINA,3,0,0,,0,0,156,0,0,62.8,80.2,80.1,55.0,90.1,80.3,0,3,0,0,,16.7,2,0,0,0.0,0,0,0,0,0,0,75,75,0,0,75,0,0,0,39,36,0,10,10,1,0,3,0,0,0,
Jordan Fehr,42823,LB,APP STATE,14,25,1,74.2,0,0,108,1,0,63.7,65.0,61.1,69.2,63.0,68.2,2,13,0,1,19,12.8,16,2,1,80.3,23,2,0,820,1,431,892,14,0,0,14,0,4,878,82,379,53,45,84,5,31,17,0,222,90,9.7
Kendall Coleman,42826,ED,SYRACUSE,12,12,2,50.0,0,0,304,0,0,53.2,74.0,74.9,76.6,69.8,54.4,18,15,0,0,10,18.0,9,0,1,61.5,2,6,0,9,0,11,598,587,0,0,587,0,1,11,316,271,0,27,29,6,4,39,0,17,5,8.5
Tommy Dawkins Jr.,42832,ED,APP STATE,13,3,0,,0,0,108,0,0,60.0,65.9,81.9,61.0,66.3,58.5,0,3,0,0,,18.8,3,0,0,0.0,0,3,0,0,0,0,204,204,0,5,94,105,0,0,94,110,0,12,10,2,0,6,0,0,0,
Chase Lucas,42833,CB,ARIZONA ST,13,0,0,70.0,0,1,110,1,0,60.3,61.6,86.0,58.2,65.9,58.6,0,1,0,1,45,16.4,10,4,0,91.8,49,0,0,41,663,416,715,10,0,0,10,0,0,705,5,294,1,20,51,4,70,1,1,548,196,11.2
Willie Baker,42835,ED,LA TECH,11,7,0,93.8,0,0,208,0,0,52.8,65.4,57.5,65.5,70.2,45.9,7,25,0,0,19,20.3,12,0,2,113.3,15,1,0,57,3,100,633,534,0,4,516,14,0,99,255,278,38,28,40,8,16,33,1,99,60,6.6
Paul Carothers,42836,LB,NAVY,12,10,0,66.7,0,0,237,0,0,44.1,56.6,35.4,63.9,63.8,68.3,5,6,0,0,24,16.7,10,0,1,135.0,6,4,0,313,0,101,356,29,0,0,29,0,0,327,51,204,14,31,40,4,9,15,1,87,23,14.5
Terrell Lewis,42845,ED,ALABAMA,11,5,2,66.7,0,0,103,1,0,62.0,79.7,69.9,85.9,68.4,37.3,7,35,0,0,15,27.8,10,0,2,93.8,2,6,0,21,0,41,482,453,1,2,439,11,0,29,258,183,7,20,21,5,3,48,0,26,8,13.0
Jordan Parker,42850,CB,OKLAHOMA,5,0,0,100.0,0,0,261,0,0,60.7,62.3,77.7,,66.9,57.8,0,0,0,0,27,16.7,1,0,0,158.3,5,0,0,8,79,48,87,0,0,0,0,0,0,87,0,39,0,1,5,0,5,0,2,65,11,13.0
Javon Jackson,42856,S,DUKE,3,0,0,,0,0,154,0,0,,30.4,70.6,,26.5,19.9,0,0,0,0,,100.0,2,0,0,0.0,0,0,0,4,0,0,13,0,0,0,0,0,7,13,0,13,1,0,0,0,0,0,0,0,0,
Leni Toailoa,42858,LB,UCLA,11,8,0,76.5,0,0,324,0,0,40.9,53.1,88.7,55.0,66.9,55.3,0,4,0,0,28,20.0,7,1,0,104.8,13,2,0,221,3,157,385,110,0,0,110,0,0,275,69,159,51,12,20,4,17,6,0,159,67,12.2
Xavier Kelly,42863,DI,CLEMSON,10,3,0,,0,0,140,1,0,60.0,51.1,78.7,70.4,39.7,76.3,3,3,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,85,85,25,47,1,12,0,0,37,48,0,1,2,0,0,7,0,0,0,
Justus Rogers,42865,LB,WASH STATE,13,19,0,80.0,0,1,341,0,0,55.9,47.8,65.0,64.3,40.6,60.2,3,6,0,0,27,17.6,16,1,3,106.3,24,2,0,639,0,344,804,105,0,0,105,0,9,699,71,389,51,29,56,3,30,11,1,205,169,8.5
Omari Cobb,42867,LB,MARSHALL,13,20,0,79.4,1,1,214,0,0,76.0,71.0,61.1,60.7,66.4,76.1,5,6,0,1,23,9.2,10,1,1,103.4,27,3,0,773,0,393,869,13,0,0,13,0,3,856,84,392,80,46,79,4,34,14,2,240,192,8.9
Curtis Robinson,42871,LB,STANFORD,11,18,0,65.9,0,1,300,0,0,54.5,53.3,86.9,85.5,42.9,55.1,2,5,0,0,24,15.3,11,2,0,92.0,29,2,0,550,4,356,671,51,0,0,51,0,1,620,41,274,65,11,43,1,44,9,1,289,185,10.0
Parrish Gordon,42872,CB,DOMINION,1,0,0,,0,0,263,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Avery Williams,42873,CB,BOISE ST,14,2,0,61.4,0,1,120,0,0,62.3,61.8,86.7,45.7,58.5,50.1,0,1,0,0,75,19.3,11,5,6,126.4,35,0,0,29,753,461,790,5,0,0,5,0,2,785,4,325,1,13,44,3,57,1,5,601,196,17.2
Jovonn Quillen,42874,CB,VA TECH,7,4,0,72.7,0,0,337,0,0,52.1,55.5,79.5,,75.0,68.9,0,0,0,0,33,10.0,1,0,1,145.1,8,0,0,7,109,81,123,1,0,0,1,0,2,122,0,42,4,0,5,0,11,0,1,150,35,18.8
Charles Oliver,42876,CB,TEXAS A&M,11,4,0,48.1,0,0,312,1,0,74.3,73.1,4.9,55.7,72.9,88.3,0,0,0,0,31,3.2,1,8,3,68.0,25,0,0,27,57,297,510,4,0,0,4,0,0,506,4,209,422,9,26,1,52,0,1,243,104,9.7
D.C. Williams,42880,CB,VANDERBILT,7,2,0,66.7,0,0,333,0,0,47.1,51.0,82.2,56.1,70.2,79.1,0,0,0,0,25,7.1,1,0,1,132.2,12,0,0,8,179,109,213,7,0,0,7,0,1,206,2,102,18,2,11,0,18,0,3,151,44,12.6
Logan Latin,42882,CB,LA MONROE,11,2,0,83.3,0,0,209,0,0,60.1,57.0,83.3,55.3,51.0,43.4,1,4,0,0,26,27.3,3,1,1,98.6,10,0,0,50,9,93,210,24,0,0,24,0,1,186,23,94,123,0,6,0,12,5,0,92,80,9.2
Troy Pride Jr.,42883,CB,NOTRE DAME,13,7,0,54.2,0,0,258,0,0,67.7,68.5,86.4,58.3,68.9,67.7,0,0,0,1,50,14.0,6,6,4,86.6,32,0,0,43,625,388,724,13,0,0,13,0,24,711,1,335,19,8,30,0,59,0,4,337,101,10.5
Jarrion Street,42887,CB,UAB,1,2,0,100.0,0,0,321,0,0,55.3,54.7,77.8,74.1,45.4,67.9,0,0,0,0,16,12.5,1,0,1,106.3,4,1,0,1,0,27,45,0,0,0,0,0,0,45,2,16,44,1,5,0,4,1,0,38,10,9.5
Grant Morgan,42888,LB,ARKANSAS,12,7,0,50.0,0,0,111,0,0,47.8,65.7,79.4,65.0,74.8,52.4,0,3,0,0,16,18.2,6,0,0,68.2,4,1,0,148,0,52,167,11,0,0,11,0,0,156,15,100,8,12,20,3,8,4,0,47,30,11.8
Kristian Fulton,42894,CB,LSU,15,7,0,44.1,0,0,211,0,0,86.9,84.7,87.6,45.2,64.5,68.1,0,0,0,1,55,13.3,6,13,6,74.9,30,0,0,40,798,536,892,0,0,0,0,0,11,892,10,346,42,5,32,0,68,0,3,449,144,15.0
Jahad Woods,42896,LB,WASH STATE,13,41,0,71.9,0,2,341,0,0,46.1,61.8,85.9,72.0,67.3,69.3,4,10,0,1,94,11.6,19,2,0,107.6,41,3,0,761,1,379,837,17,0,0,17,0,2,820,56,402,56,56,104,9,57,17,3,484,329,11.8
