player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Brandon Arconado,42120,WR,WASH STATE,11,15.4,0,341,81.4,,47.3,0,0,0,0.0,0.0,,2,0,0,79,0,0,0,514,0,435,0,0,79,0
Cee Jay Powell,42146,WR,LA TECH,13,23.4,0,208,71.8,,57.0,0,0,0,0.0,0.0,,1,0,0,79,0,0,0,338,0,259,0,0,79,1
Davon Jones,40603,HB,BOWL GREEN,9,27.8,0,122,72.6,72.9,48.3,0,1,31,27.4,28.2,98.4,0,1,0,79,0,0,0,284,33,117,0,0,46,0
Liam Soraghan,60986,TE,N ILLINOIS,12,90.8,0,254,58.0,70.3,59.9,0,0,4,33.3,33.3,100.0,1,0,0,79,0,0,0,87,4,12,0,0,75,86
Jalen Cropper,97273,WR,FRESNO ST,10,40.7,0,169,80.0,,48.2,0,0,0,0.0,0.0,,0,0,0,79,0,0,0,194,0,97,0,0,79,0
Victor Curne,81930,T,WASHINGTON,5,100.0,0,340,70.2,65.0,69.3,1,0,36,100.0,100.0,98.6,0,1,0,79,0,0,0,79,37,37,0,79,42,0
James Tupou,81448,TE,UTEP,11,75.7,0,330,50.8,39.1,57.2,0,1,8,25.8,24.2,93.7,0,1,0,78,0,0,0,103,8,33,0,0,70,26
Israel Tucker,40566,HB,LA TECH,10,32.6,0,208,75.2,39.7,57.0,4,1,48,35.0,35.0,94.8,0,5,0,78,0,0,0,239,50,143,0,0,28,0
Nathan Eldridge,45657,C,OREGON ST,4,100.0,0,265,62.8,70.5,63.4,2,0,51,100.0,100.0,98.0,1,2,0,78,78,0,0,78,54,54,0,0,24,0
Darius Savedge,84362,WR,DOMINION,9,42.6,0,263,69.9,,74.7,0,0,0,0.0,0.0,,0,0,0,78,0,0,0,183,0,105,0,0,78,0
Eric Kumah,42253,WR,DOMINION,4,41.5,0,263,72.4,,65.4,0,0,0,0.0,0.0,,0,0,0,78,0,0,0,188,0,110,0,0,78,0
Bobby Lawrence,81744,T,MISSOURI,3,100.0,0,229,79.6,84.5,78.2,0,0,28,100.0,100.0,100.0,1,0,0,78,0,0,17,78,31,31,0,61,47,0
Cadarrius Thompson,98007,WR,GA STATE,6,49.7,0,175,53.9,,69.3,0,0,0,0.0,0.0,,1,0,0,78,0,0,0,157,0,79,0,0,78,0
Salvon Ahmed,57472,HB,WASHINGTON,12,15.2,0,340,76.5,23.8,61.5,2,5,37,13.5,14.1,90.5,1,7,0,78,0,0,0,512,40,284,0,0,38,0
J.J. Taylor,25512,HB,ARIZONA,11,18.5,0,109,84.7,75.0,56.8,1,2,48,20.7,20.8,96.9,0,3,0,78,0,0,0,421,51,245,0,0,27,0
Will Hastings,47493,WR,AUBURN,13,28.1,0,115,57.4,,62.6,0,0,0,0.0,0.0,,0,0,0,78,0,0,0,278,0,200,0,0,78,1
Jonathan Ward,25859,HB,C MICHIGAN,12,15.5,1,134,76.5,44.1,64.4,0,2,44,16.7,16.2,95.5,2,3,1,77,0,0,0,496,45,277,0,0,32,0
Joshua Kelley,13750,HB,UCLA,11,16.7,0,324,78.1,50.7,63.3,0,8,50,25.5,25.6,92.0,0,8,0,77,0,0,0,460,52,203,0,0,25,0
Andrew Marty,60498,QB,NWESTERN,5,48.4,0,256,67.6,,60.0,0,0,0,0.0,0.0,,0,0,0,77,0,0,0,159,0,31,0,0,77,0
CT Thomas,61168,WR,BOISE ST,13,25.6,0,120,77.3,,58.3,0,0,0,0.0,0.0,,1,0,0,77,0,0,0,301,0,222,0,0,77,0
Larry McCammon III,97309,HB,FAU,9,28.3,0,165,71.4,87.4,64.3,0,1,56,36.8,36.8,99.1,0,1,0,77,0,0,0,272,60,163,0,0,17,0
Camrin Knight,36052,TE,GA STATE,8,85.6,0,175,48.3,73.5,48.0,0,0,2,13.3,18.8,100.0,0,0,0,77,0,0,0,90,3,16,0,0,74,56
Darius Bradwell,46445,HB,TULANE,10,27.7,0,319,70.1,30.5,57.6,1,3,29,26.6,25.9,93.1,0,4,0,77,0,0,0,278,30,116,0,0,47,0
Dontae Crow,40371,WR,WYOMING,13,56.6,0,351,57.4,,64.1,0,0,0,0.0,0.0,,0,0,0,77,0,0,0,136,0,59,0,0,77,0
Seth Green,40668,WR,MINNESOTA,12,56.6,0,225,59.7,,45.5,0,0,0,0.0,0.0,,0,0,0,77,0,0,0,136,0,30,0,0,77,1
Dominick Blaylock,99230,WR,GEORGIA,12,42.5,0,173,78.9,,52.4,0,0,0,0.0,0.0,,0,0,0,77,0,0,0,181,0,104,0,0,77,7
Devwah Whaley,25517,HB,ARKANSAS,12,29.3,1,111,65.9,79.9,53.8,0,0,30,20.8,23.5,100.0,1,0,0,77,0,0,0,263,36,153,0,0,41,0
Bailey Hockman,60383,QB,NC STATE,7,37.1,0,248,53.9,,60.0,0,0,0,0.0,0.0,,0,0,0,76,0,0,0,205,0,119,0,0,76,0
Harry Trotter,57275,HB,KANSAS ST,13,35.5,1,199,65.0,52.8,59.9,0,2,31,30.7,30.1,96.8,3,2,0,76,0,0,0,214,31,103,0,0,45,0
Emoryie Edwards,84185,WR,FRESNO ST,9,30.4,0,169,64.4,,58.9,0,0,0,0.0,0.0,,1,0,0,76,0,0,0,250,0,174,0,0,76,0
Garrett Groshek,40045,HB,WISCONSIN,14,27.7,0,349,71.8,64.7,55.2,1,2,51,25.8,24.6,97.1,0,3,0,76,0,0,0,274,51,207,0,0,25,0
Boobie Curry,97776,WR,ARIZONA,9,37.3,0,109,55.4,,62.3,0,0,0,0.0,0.0,,0,0,0,76,0,0,0,204,0,128,0,0,76,0
Timothy Scippio,78214,WR,AKRON,12,26.9,1,102,57.7,,52.6,0,0,0,0.0,0.0,,3,0,0,76,0,0,0,283,0,207,0,0,76,2
Jalen Nailor,84292,WR,MICH STATE,4,38.0,0,223,61.3,,58.6,0,0,0,0.0,0.0,,0,0,0,76,0,0,0,200,0,118,0,0,76,0
Forest McKee,57094,TE,UTEP,9,85.4,0,330,56.1,77.7,64.9,0,0,9,47.4,47.8,100.0,2,0,0,76,0,0,0,89,11,23,0,0,65,29
Ethan Fernea,61765,WR,UCLA,11,60.8,0,324,63.2,,59.8,0,0,0,0.0,0.0,,0,0,0,76,0,0,0,125,0,49,0,0,76,20
Jacob Robertson Jr.,40210,WR,TULANE,12,56.7,0,319,58.9,64.4,63.3,0,0,1,1.7,1.7,100.0,2,0,0,76,0,0,0,134,1,59,0,0,75,0
Dante Cousart,42407,WR,FAU,14,47.5,0,165,59.7,,46.6,0,0,0,0.0,0.0,,0,0,0,76,0,0,0,160,0,84,0,0,76,0
Dezmon Patmon,48329,WR,WASH STATE,13,17.4,1,341,72.7,,53.9,0,0,0,0.0,0.0,,2,0,0,76,0,0,0,438,0,362,0,0,76,4
Isaiah Richardson,61624,WR,S DIEGO ST,13,42.9,0,284,63.9,,65.0,0,0,0,0.0,0.0,,2,0,0,75,0,0,0,175,0,100,0,0,75,1
Aaron Allen,78494,QB,LA TECH,6,44.1,0,208,62.0,,60.0,0,0,0,0.0,0.0,,1,0,0,75,0,0,0,170,0,87,0,0,75,0
Steven Duncan,40211,QB,W KENTUCKY,3,34.6,0,346,59.6,,60.0,0,0,0,0.0,0.0,,1,0,0,75,0,0,0,217,0,129,0,0,75,0
Puka Nacua,100632,WR,WASHINGTON,8,65.2,0,340,73.1,,58.2,0,0,0,0.0,0.0,,0,0,0,75,0,0,0,115,0,40,0,0,75,2
Charlie O'Connor,81680,C,INDIANA,4,100.0,0,190,41.1,65.1,42.9,1,0,19,100.0,100.0,97.4,0,1,0,75,75,0,0,75,22,22,0,0,53,0
James Charles,40069,HB,FAU,11,30.9,0,165,73.4,76.7,48.6,0,2,48,35.6,36.0,97.9,0,2,0,75,0,0,0,243,50,139,0,0,25,0
Malcolm Davidson,83660,HB,FAU,11,25.3,0,165,77.6,43.8,55.1,0,2,48,30.2,29.3,97.9,0,2,0,75,0,0,0,297,49,167,0,0,26,0
Trevon Sidney,41041,WR,ILLINOIS,6,38.9,0,187,52.9,,46.5,0,0,0,0.0,0.0,,2,0,0,74,0,0,0,190,0,115,0,0,74,0
Hank Manos,81841,C,S CAROLINA,2,100.0,0,289,28.7,15.1,40.8,0,1,37,100.0,100.0,95.9,1,2,1,74,74,0,0,74,40,40,0,0,34,0
Jsi Hatfield,97131,WR,E CAROLINA,10,37.2,0,156,64.7,,59.1,0,0,0,0.0,0.0,,0,0,0,74,0,0,0,199,0,113,0,0,74,0
Malik Henry,41440,QB,NEVADA,3,42.8,0,239,61.4,,60.0,0,0,0,0.0,0.0,,2,0,0,74,0,0,0,173,0,96,0,0,74,0
Hasaan Patterson,34275,WR,DOMINION,9,37.6,0,263,57.4,,69.6,0,0,0,0.0,0.0,,1,0,0,74,0,0,0,197,0,123,0,0,74,0
Tashawn Manning,56551,G,AUBURN,5,100.0,0,115,60.6,47.8,60.5,0,2,17,100.0,100.0,94.1,0,2,0,74,0,74,0,74,17,17,0,0,57,0
Darrian Dalcourt,99061,C,ALABAMA,7,100.0,0,103,65.8,56.9,64.0,0,1,13,100.0,100.0,96.2,0,1,0,74,74,0,0,74,13,13,0,0,61,0
Erick All,52595,TE,MICHIGAN,9,63.2,0,222,58.4,67.3,64.7,0,0,1,2.4,2.3,100.0,0,0,0,74,0,0,0,117,1,44,0,0,73,96
