player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Robert Hayes Jr.,14327,CB,SMU,12,2,13.1,60.7,99.5,11.1,6.8,0,0,2,7.1,287,65.4,65.7,83.3,57.2,64.8,73.3,0,75,5.9,1,1,2,100.6,17,201,202,3,14,28,1,242,113,1.3,14.2
Anthony J. Taylor,14471,CB,TEXAS ST,12,4,14.3,37.5,99.1,21.4,8.0,0,2,9,22.5,314,80.0,79.4,89.0,59.2,74.6,77.5,1,44,9.5,2,9,2,60.3,15,336,339,3,15,40,2,199,54,0.6,13.3
Ladarian McFarland,14977,LB,UTSA,4,2,2.8,75.0,80.0,8.2,6.1,0,0,1,12.5,331,51.7,47.4,0.0,74.2,44.8,42.2,0,11,46.2,6,1,2,120.8,6,52,65,1,5,8,1,32,41,0.7,5.3
Marquis Couch,21749,ED,MARSHALL,13,2,6.4,40.0,30.0,49.0,19.6,0,0,0,0.0,214,67.9,74.5,41.3,71.4,76.0,72.2,0,23,20.0,1,0,3,54.6,2,101,337,3,2,5,0,23,4,0.2,11.5
Anthony Cruz,22522,S,TEMPLE,2,0,,,100.0,,,0,0,0,,306,63.9,66.6,73.4,,65.2,77.1,0,,0.0,0,0,0,0.0,0,3,3,0,1,0,0,0,0,0.0,
Clay Davis,22969,LB,W KENTUCKY,9,1,4.0,70.0,83.9,12.6,8.9,0,0,2,10.0,346,48.3,55.1,84.0,63.6,59.1,46.9,0,38,36.4,4,2,1,93.8,14,187,223,2,6,20,0,160,119,0.9,11.4
Cortez Davis,22974,CB,HAWAII,15,5,14.0,55.1,100.0,11.9,6.5,0,1,14,17.9,180,75.4,76.4,86.8,,73.2,89.2,1,37,2.4,1,10,4,81.7,43,533,533,13,36,78,4,411,148,0.8,9.6
Dru Prox,23093,LB,KANSAS,4,1,7.8,55.6,84.3,19.4,10.8,0,1,2,22.2,198,65.7,64.2,15.6,60.9,63.2,78.4,0,28,0.0,0,1,1,71.1,5,102,121,3,4,9,0,49,17,0.5,9.8
Tim Washington,23468,LB,MISS STATE,11,0,3.8,50.0,72.3,15.4,7.7,0,1,1,10.0,227,57.6,58.5,0.0,53.8,67.5,75.6,0,10,0.0,0,1,3,56.3,5,81,112,2,4,10,0,27,23,0.4,5.4
K.J. Osborn,23503,WR,MIAMI FL,1,0,,,100.0,,,0,0,0,,220,60.0,62.4,60.0,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Dalton Baker,23619,ED,UTAH ST,12,2,12.5,100.0,20.9,12.5,12.5,0,0,1,50.0,329,61.0,54.8,84.5,61.8,48.0,35.4,0,27,37.5,3,1,0,118.8,2,27,129,1,3,2,0,43,18,1.7,21.5
