season,player_id,player_name,team_id,team_name,conference,position,games,snaps,routes,targets,receptions,rec_yards,yds_per_reception,rec_td,drops,fumbles,air_yards,yac,tgt_per_route,adot,yards_per_route_run,targets_per_game,catch_pct,drop_rate,yds_per_target,tds_per_target,yac_per_rec,air_yards_share,target_share,epa_total_recv,epa_per_target,ppa_total_recv,ppa_per_target,success_rate,explosive_rec_rate,slot_rate,wide_rate,inline_te_rate,man_tgt_rate,zone_tgt_rate,epa_vs_man,epa_vs_zone,separation_avg_yards,epa_per_target_deep,epa_per_target_short,cfbd_player_id,pff_player_game_count,pff_avg_depth_of_target,pff_avoided_tackles,pff_caught_percent,pff_contested_catch_rate,pff_contested_receptions,pff_contested_targets,pff_declined_penalties,pff_drop_rate,pff_drops,pff_first_downs,pff_franchise_id,pff_fumbles,pff_grades_hands_drop,pff_grades_hands_fumble,pff_grades_offense,pff_grades_pass_block,pff_grades_pass_route,pff_inline_rate,pff_inline_snaps,pff_interceptions,pff_longest,pff_pass_block_rate,pff_pass_blocks,pff_pass_plays,pff_penalties,pff_receptions,pff_route_rate,pff_routes,pff_slot_rate,pff_slot_snaps,pff_targeted_qb_rating,pff_targets,pff_touchdowns,pff_wide_rate,pff_wide_snaps,pff_yards,pff_yards_after_catch,pff_yards_after_catch_per_reception,pff_yards_per_reception,pff_yprr
2019,4367175,Kyle Philips,26,UCLA,Pac-12,WR,,,,76,60.0,671,11.183333333333334,5.0,,0.0,,,,,,,0.7894736842105263,,8.828947368421053,0.0657894736842105,,,,67.84815341772051,0.8927388607594804,53.75966100499832,0.7073639605920831,0.6710526315789473,0.1578947368421052,,,,,,,,,,,4367175,12.0,6.6,12.0,69.0,41.7,5.0,12.0,0.0,6.3,4.0,31.0,324.0,0.0,75.1,83.7,72.9,,71.8,0.2,1.0,1.0,39.0,0.0,0.0,438.0,0.0,60.0,96.8,424.0,95.4,418.0,106.5,87.0,5.0,4.1,18.0,681.0,320.0,5.3,11.4,1.61
2019,4367178,Dorian Thompson-Robinson,26,UCLA,Pac-12,QB,,,,9,9.0,303,33.666666666666664,9.0,,0.0,,,,,,,1.0,,33.666666666666664,1.0,,,,58.58379213824012,6.509310237582236,36.64925744438916,4.07213971604324,1.0,0.4444444444444444,,,,,,,,,,,4367178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4367180,Kazmeir Allen,26,UCLA,Pac-12,WR,,,,5,4.0,29,7.25,0.0,,0.0,,,,,,,0.8,,5.8,0.0,,,,-0.1734726283976959,-0.0346945256795391,-0.4648462132462385,-0.0929692426492477,0.2,0.2,,,,,,,,,,,4367180,4.0,4.2,2.0,80.0,,0.0,0.0,0.0,0.0,0.0,1.0,324.0,0.0,74.9,27.8,67.7,,68.0,0.0,0.0,0.0,24.0,0.0,0.0,20.0,0.0,4.0,90.0,18.0,40.0,8.0,90.8,5.0,0.0,0.0,0.0,29.0,42.0,10.5,7.3,1.61
2019,4367186,Chase Cota,26,UCLA,Pac-12,WR,,,,34,22.0,299,13.590909090909092,0.0,,0.0,,,,,,,0.6470588235294118,,8.794117647058824,0.0,,,,24.319518918410395,0.715279968188541,18.44605068533241,0.5425309025097768,0.5882352941176471,0.1470588235294117,,,,,,,,,,,4367186,12.0,11.1,3.0,62.5,20.0,1.0,5.0,1.0,7.4,2.0,18.0,324.0,0.0,78.9,71.3,57.3,,56.6,0.0,0.0,1.0,61.0,0.0,0.0,446.0,2.0,25.0,96.9,432.0,11.0,49.0,105.2,40.0,3.0,89.0,397.0,350.0,135.0,5.4,14.0,0.81
2019,4367187,Martell Irby,26,UCLA,Pac-12,DB,,,,6,5.0,48,9.6,0.0,,0.0,,,,,,,0.8333333333333334,,8.0,0.0,,,,2.660000000000001,0.4433333333333335,3.345452481426236,0.5575754135710393,0.8333333333333334,0.0,,,,,,,,,,,4367187,5.0,3.9,1.0,71.4,,0.0,0.0,0.0,0.0,0.0,4.0,324.0,0.0,76.3,73.9,65.3,75.0,78.1,2.9,1.0,1.0,12.0,8.8,3.0,34.0,0.0,5.0,91.2,31.0,11.8,4.0,50.6,7.0,0.0,2.9,1.0,48.0,30.0,6.0,9.6,1.55
2019,4367189,Delon Hurt,26,UCLA,Pac-12,WR,,,,2,1.0,5,5.0,0.0,,0.0,,,,,,,0.5,,2.5,0.0,,,,-0.5044777767867163,-0.2522388883933582,-1.0868336718855252,-0.5434168359427626,0.5,0.0,,,,,,,,,,,4367189,9.0,3.5,0.0,50.0,,0.0,0.0,0.0,0.0,0.0,0.0,324.0,0.0,70.7,62.9,50.3,,49.5,0.0,0.0,0.0,5.0,0.0,0.0,104.0,0.0,1.0,98.1,102.0,15.4,16.0,56.3,2.0,0.0,84.6,88.0,5.0,3.0,3.0,5.0,0.05
2019,4367207,Matt Alaimo,164,Rutgers,Big Ten,TE,,,,7,6.0,60,10.0,0.0,,0.0,,,,,,,0.8571428571428571,,8.571428571428571,0.0,,,,7.063272826110684,1.0090389751586692,6.849421662034379,0.978488808862054,0.7142857142857143,0.0,,,,,,,,,,,4367207,12.0,9.1,0.0,54.5,100.0,1.0,1.0,0.0,0.0,0.0,5.0,278.0,0.0,77.5,66.2,44.2,62.2,47.0,50.4,128.0,1.0,17.0,15.4,39.0,254.0,1.0,6.0,79.5,202.0,45.7,116.0,32.4,11.0,0.0,2.0,5.0,60.0,25.0,4.2,10.0,0.3
2019,4367209,Greg Dulcich,26,UCLA,Pac-12,TE,,,,9,8.0,105,13.125,1.0,,0.0,,,,,,,0.8888888888888888,,11.666666666666666,0.1111111111111111,,,,13.123722101937124,1.4581913446596804,7.162416460906694,0.7958240512118548,0.8888888888888888,0.2222222222222222,,,,,,,,,,,4367209,10.0,10.5,0.0,61.5,,0.0,0.0,0.0,11.1,1.0,5.0,324.0,0.0,58.9,67.1,64.0,,63.9,7.8,5.0,1.0,31.0,0.0,0.0,64.0,0.0,8.0,96.9,62.0,67.2,43.0,80.6,13.0,1.0,23.4,15.0,105.0,37.0,4.6,13.1,1.69
2019,4367325,Aaron Dykes,257,Richmond,CAA,RB,,,,2,1.0,-6,-6.0,0.0,,0.0,,,,,,,0.5,,-3.0,0.0,,,,-2.211786264132061,-1.1058931320660306,-2.857496382338221,-1.4287481911691104,0.0,0.0,,,,,,,,,,,4367325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4367328,Justin Jasper,257,Richmond,CAA,WR,,,,1,1.0,13,13.0,0.0,,0.0,,,,,,,1.0,,13.0,0.0,,,,1.0644777767867164,1.0644777767867164,0.9667908117151836,0.9667908117151836,1.0,0.0,,,,,,,,,,,4367328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
