season,player_id,player_name,team_id,team_name,conference,position,games,snaps,rush_att,rush_yards,rush_td,fumbles,yards_before_contact,broken_tackles,forced_missed_tackles,yards_per_carry,td_rate,fumble_rate,lost_fumble_rate,epa_total_rush,epa_per_rush,ppa_total_rush,ppa_per_rush,success_rate,explosive_rush_rate,rpo_carry_rate,read_option_rate,yards_over_expected_per_att,epa_rush_early,epa_rush_short,epa_rush_red_zone,att_light_box_rate,att_heavy_box_rate,cfbd_player_id,pff_player_game_count,pff_attempts,pff_avoided_tackles,pff_breakaway_attempts,pff_breakaway_percent,pff_breakaway_yards,pff_declined_penalties,pff_designed_yards,pff_drops,pff_elu_recv_mtf,pff_elu_rush_mtf,pff_elu_yco,pff_elusive_rating,pff_explosive,pff_first_downs,pff_franchise_id,pff_fumbles,pff_gap_attempts,pff_grades_hands_fumble,pff_grades_offense,pff_grades_offense_penalty,pff_grades_pass,pff_grades_pass_block,pff_grades_pass_route,pff_grades_run,pff_grades_run_block,pff_longest,pff_penalties,pff_rec_yards,pff_receptions,pff_routes,pff_run_plays,pff_scramble_yards,pff_scrambles,pff_targets,pff_total_touches,pff_touchdowns,pff_yards,pff_yards_after_contact,pff_yco_attempt,pff_ypa,pff_yprr,pff_zone_attempts,yards_after_contact
2019,4426860,Kyvin Carroll,278,Fresno State,Mountain West,LB,,,3,5,0.0,0.0,,,,1.6666666666666667,0.0,0.0,0.0,-3.563143194680168,-1.1877143982267226,-3.941494016445935,-1.3138313388153116,0.0,0.0,,,,-0.2593546857172355,-0.2593546857172355,-1.6518942544814663,,,4426860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4426875,Sam Howell,153,North Carolina,ACC,QB,,,55,244,1.0,0.0,,,,4.4363636363636365,0.0181818181818181,0.0,0.0,11.810740721057222,0.2147407403828586,14.075634673341588,0.2559206304243925,0.4727272727272727,0.0909090909090909,,,,0.0619516990047049,0.7949996224709688,0.5646127906145789,,,4426875,13.0,65.0,10.0,2.0,13.0,32.0,0.0,100.0,0.0,1.0,6.0,76.0,26.9,5.0,13.0,245.0,10.0,7.0,47.6,82.0,75.8,83.3,,92.0,53.0,60.3,24.0,3.0,23.0,3.0,3.0,438.0,147.0,22.0,3.0,46.0,1.0,247.0,121.0,1.86,3.8,7.67,14.0,121.0
2019,4426891,Isaiah Spiller,245,Texas A&M,SEC,RB,,,171,944,10.0,0.0,,,,5.52046783625731,0.0584795321637426,0.0,0.0,50.66097640415055,0.2962630199073131,27.123259391589105,0.1586155519975971,0.4210526315789473,0.1286549707602339,,,,0.3058800140680969,0.1937531970291663,0.6911374768024765,,,4426891,13.0,173.0,28.0,12.0,45.4,434.0,0.0,957.0,2.0,4.0,28.0,725.0,66.4,23.0,54.0,312.0,2.0,45.0,74.6,72.7,58.7,,48.2,59.8,76.5,64.9,85.0,1.0,203.0,29.0,247.0,251.0,0.0,0.0,37.0,202.0,10.0,957.0,725.0,4.19,5.5,0.82,128.0,725.0
2019,4426894,Dante Chachere,2502,Portland State,Big Sky,QB,,,2,5,0.0,0.0,,,,2.5,0.0,0.0,0.0,-0.5044777767867163,-0.2522388883933582,-0.9011158065742446,-0.4505579032871223,0.0,0.0,,,,-0.2522388883933582,,,,,4426894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4426910,Kenan Christon II,30,USC,Pac-12,RB,,,67,369,2.0,0.0,,,,5.507462686567164,0.0298507462686567,0.0,0.0,15.707356919023647,0.2344381629705022,7.619363277721547,0.1137218399659932,0.4626865671641791,0.1343283582089552,,,,0.171973415781814,0.2006051596339891,-0.1276150899508355,,,4426910,7.0,68.0,8.0,5.0,40.5,148.0,0.0,365.0,2.0,5.0,8.0,153.0,37.0,9.0,15.0,326.0,1.0,14.0,67.3,62.8,21.0,,53.9,62.2,64.0,60.2,55.0,1.0,126.0,11.0,94.0,76.0,0.0,0.0,13.0,79.0,2.0,365.0,153.0,2.25,5.4,1.34,54.0,153.0
2019,4426917,Coltin Clack,2032,Arkansas State,Sun Belt,TE,,,1,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,-0.7000000000000002,-0.7000000000000002,-0.6456997217339855,-0.6456997217339855,0.0,0.0,,,,-0.7000000000000002,,-0.7000000000000002,,,4426917,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,113.0,0.0,1.0,62.5,59.6,63.6,,,,59.9,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,1.0
2019,4426942,Cameron Cloud,257,Richmond,CAA,WR,,,1,1,0.0,0.0,,,,1.0,0.0,0.0,0.0,-0.5442208381761082,-0.5442208381761082,-0.7709607025343227,-0.7709607025343227,0.0,0.0,,,,-0.5442208381761082,,,,,4426942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4426948,Luke McCaffrey,158,Nebraska,Big Ten,WR,,,24,151,1.0,0.0,,,,6.291666666666667,0.0416666666666666,0.0,0.0,15.59136078653496,0.64964003277229,8.255657986815207,0.3439857494506336,0.625,0.375,,,,0.4585439138828748,-0.2650814027026517,0.9519581842343684,,,4426948,4.0,24.0,3.0,1.0,9.0,15.0,0.0,151.0,0.0,0.0,3.0,58.0,34.4,9.0,10.0,238.0,0.0,13.0,76.5,89.8,78.6,89.8,,72.0,75.2,55.9,15.0,1.0,12.0,1.0,2.0,53.0,15.0,2.0,1.0,23.0,1.0,166.0,66.0,2.75,6.9,6.0,9.0,66.0
2019,4426966,Garrett Shrader,344,Mississippi State,SEC,QB,,,95,741,6.0,0.0,,,,7.8,0.0631578947368421,0.0,0.0,73.23286051005881,0.7708722158953559,55.31906828350847,0.5823059819316682,0.6631578947368421,0.3578947368421052,,,,0.6561972509277137,0.9892119360125712,2.1792860521513755,,,4426966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,4426990,Jalen Moreno-Cropper,278,Fresno State,Mountain West,WR,,,22,357,3.0,0.0,,,,16.227272727272727,0.1363636363636363,0.0,0.0,40.6000968630021,1.8454589483182773,27.208218297302903,1.2367371953319504,0.8636363636363636,0.3181818181818182,,,,1.6712266475710993,3.5877819557900565,1.5619857350283075,,,4426990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
