player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
David Woodward,42450,LB,UTAH ST,7,0,0,329,93.2,0,9,27,11.1,25.9,7,0,24.1,2,253,28,11,0,94.3,0,2,10,14.7,10.0,1,20.0,1,75,11,3
Isaiah Simmons,42451,S,CLEMSON,15,1,1,140,81.1,4,18,70,15.7,12.9,9,2,27.1,8,464,73,30,1,74.2,1,4,26,17.2,15.4,4,25.0,4,157,27,9
Clifton Lewis Jr.,42454,LB,TEXAS ST,12,0,0,314,61.1,0,4,80,46.2,10.0,8,1,3.8,1,186,86,5,0,62.1,0,1,21,88.9,19.0,4,2.4,0,27,24,1
Stefan Claiborne,42466,S,W MICHIGAN,13,0,0,347,58.3,0,1,4,1.6,0.0,0,1,12.5,0,247,4,1,0,,0,0,0,0.0,,0,,0,69,0,0
K'Von Wallace,42467,S,CLEMSON,15,1,0,140,66.9,4,7,51,12.8,9.8,5,4,14.7,2,414,53,13,0,60.3,3,3,25,17.5,8.0,2,16.0,1,143,25,7
Cameron Dantzler,42472,CB,MISS STATE,9,0,0,227,94.5,0,0,12,5.1,16.7,2,3,8.3,1,234,12,1,0,97.9,0,0,5,6.5,40.0,2,20.0,1,77,5,1
D.J. Ford,42473,S,N CAROLINA,12,0,0,245,64.9,1,5,27,8.8,7.4,2,0,14.8,1,308,27,7,0,65.5,0,0,4,3.7,25.0,1,25.0,1,108,4,1
Antoine Winfield Jr.,42475,S,MINNESOTA,13,0,0,225,86.3,1,5,19,4.8,15.8,3,0,31.6,3,421,20,9,0,77.8,0,3,6,4.2,33.3,2,41.7,1,143,6,4
Tomon Fox,42486,ED,N CAROLINA,13,0,1,245,74.3,7,19,320,76.5,11.3,36,1,6.9,9,438,335,35,0,75.3,2,12,116,80.4,15.5,18,12.1,7,153,123,21
Andrew Armstrong,42487,LB,SYRACUSE,11,2,0,304,53.8,0,8,96,25.0,3.1,3,0,4.2,0,400,100,8,1,58.1,0,4,34,26.5,5.9,2,5.9,0,132,35,4
Jay Lenard,42492,S,S JOSE ST,12,0,0,285,70.3,1,1,4,1.3,0.0,0,0,25.0,0,383,5,2,0,,0,0,0,0.0,,0,,0,80,0,0
Devin Harper,42494,LB,OKLA STATE,10,0,0,262,76.2,2,1,12,12.9,8.3,1,0,37.5,3,93,12,6,0,62.9,0,1,5,17.2,0.0,0,30.0,1,29,5,2
Shemar Jean-Charles,42496,CB,APP STATE,14,0,0,108,65.2,0,3,8,1.6,25.0,2,7,18.8,0,488,8,3,0,55.7,0,0,3,1.9,0.0,0,0.0,0,160,3,0
Trae Meadows,42502,CB,W KENTUCKY,13,0,1,346,66.8,1,0,1,0.3,0.0,0,2,50.0,0,316,1,1,0,66.8,1,0,1,0.8,0.0,0,50.0,0,126,1,1
Jatairis Grant,42507,S,IOWA STATE,2,0,0,193,60.0,0,0,1,6.3,0.0,0,0,0.0,0,16,1,0,0,,0,0,0,,,0,,0,0,0,0
Keir Thomas,42509,DI,S CAROLINA,2,0,0,289,62.9,0,1,9,100.0,11.1,1,0,5.6,0,10,10,1,0,58.8,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Tyrez Lindsey,42510,S,MEMPHIS,6,0,0,218,59.5,0,0,2,5.1,0.0,0,0,0.0,0,39,2,0,0,,0,0,0,0.0,,0,,0,18,0,0
Chris Jackson,42512,CB,MARSHALL,11,0,1,214,47.0,0,1,8,2.4,0.0,0,8,6.3,0,371,9,1,0,54.6,0,0,2,2.2,0.0,0,0.0,0,90,2,0
Cam Brown,42516,LB,PENN STATE,13,0,0,266,65.8,2,13,71,22.4,12.7,9,1,13.4,2,339,76,17,0,56.3,0,7,31,25.6,9.7,3,14.5,1,129,33,8
Kendrec Grady,42517,LB,GA STATE,3,0,0,175,58.9,0,0,1,7.7,0.0,0,0,0.0,0,13,1,0,0,,0,0,0,0.0,,0,,0,4,0,0
Jashon Waddy,42542,S,TEXAS ST,11,0,1,314,67.8,0,1,6,2.2,16.7,1,1,8.3,0,320,7,1,0,72.2,0,1,2,5.8,50.0,1,25.0,0,52,3,1
Daniel Thomas,42544,S,AUBURN,13,0,0,115,55.2,1,1,16,4.5,6.3,1,5,6.3,0,402,18,2,0,55.6,0,0,3,2.2,0.0,0,0.0,0,137,3,0
Krys Barnes,42548,LB,UCLA,11,2,0,324,55.2,0,11,106,27.7,4.7,5,1,9.0,4,383,106,15,0,50.7,0,5,37,28.2,5.4,2,9.5,1,131,37,6
James Skalski,42552,LB,CLEMSON,15,2,0,140,68.0,8,8,128,32.8,3.1,4,1,11.7,7,405,133,23,0,62.1,3,4,71,54.8,4.2,3,12.0,5,135,74,12
Nazeeh Johnson,42553,S,MARSHALL,13,0,0,214,51.7,0,1,13,3.0,0.0,0,3,3.8,0,474,14,1,0,55.8,0,0,3,2.6,0.0,0,0.0,0,115,3,0
Jordan Fox,42554,ED,STANFORD,5,0,1,300,64.6,1,4,93,71.6,6.5,6,1,3.8,1,134,96,6,0,58.7,0,1,42,86.3,7.1,3,1.2,0,51,44,1
Evan Foster,42556,S,SYRACUSE,12,0,0,304,57.4,1,2,30,7.4,0.0,0,1,8.3,1,419,31,4,0,66.7,0,0,2,2.2,0.0,0,50.0,1,138,3,1
Ryan Parker,42563,LB,ARMY,5,0,0,114,72.7,1,1,6,23.1,16.7,1,0,16.7,0,26,6,2,0,59.2,0,0,1,14.3,0.0,0,0.0,0,7,1,0
Max Richardson,42572,LB,BOSTON COL,12,0,0,121,66.9,2,11,74,16.3,14.9,11,0,14.2,4,473,77,17,0,65.9,1,6,33,18.5,24.2,8,13.6,1,184,34,8
Ja'Quain Blakely,42579,DI,TENNESSEE,12,0,0,307,59.0,0,5,83,100.0,4.8,4,0,3.0,0,88,88,5,0,62.4,0,4,43,100.0,9.3,4,4.7,0,46,46,4
Aaron Ramseur,42585,LB,E CAROLINA,8,0,0,156,72.1,0,2,4,6.0,0.0,0,0,75.0,2,84,5,4,0,68.1,0,1,2,10.0,0.0,0,75.0,1,30,3,2
Leevel Tatum III,42587,ED,FRESNO ST,11,0,0,169,61.2,1,12,143,98.0,7.7,11,0,4.5,0,153,150,13,0,66.4,0,6,36,97.4,16.7,6,8.3,0,38,37,6
Juwan Ross,42588,DI,DOMINION,8,1,0,263,61.0,1,9,165,100.0,3.0,5,3,4.8,3,172,172,13,1,61.8,0,7,58,100.0,6.9,4,7.8,1,62,62,8
Malik Barrow,42596,ED,UCF,4,0,0,323,76.2,2,1,19,100.0,15.8,3,0,7.9,0,20,20,3,0,71.7,1,0,10,100.0,20.0,2,5.0,0,11,11,1
Taylor Riggins,42599,ED,BUFFALO,13,0,0,126,90.1,7,20,284,97.4,16.9,48,0,9.0,12,313,305,39,0,91.3,3,11,98,100.0,28.6,28,14.3,7,104,104,21
Mikial Onu,42603,S,COLORADO,11,0,0,143,58.7,0,0,2,0.5,0.0,0,0,0.0,0,412,2,0,0,59.6,0,0,1,0.7,0.0,0,0.0,0,148,1,0
Tayler Hawkins,42606,S,S DIEGO ST,11,0,0,284,56.4,0,1,4,3.0,0.0,0,1,12.5,0,168,5,1,0,58.8,0,1,1,1.5,0.0,0,50.0,0,68,1,1
Lawrence White,42607,S,IOWA STATE,13,0,0,193,61.3,0,6,30,6.5,10.0,3,1,13.3,1,464,30,7,0,66.9,0,2,8,9.5,25.0,2,12.5,0,84,8,2
Caesar Williams,42613,CB,WISCONSIN,14,0,1,349,58.5,0,0,2,0.5,0.0,0,4,0.0,0,365,2,0,0,59.7,0,0,1,0.7,0.0,0,0.0,0,138,1,0
Leighton McCarthy,42626,ED,FAU,14,0,0,165,58.6,4,8,238,84.3,6.7,16,0,5.5,7,300,253,19,0,65.5,3,7,96,86.7,11.5,11,11.5,6,120,104,16
Tyler Coyle,42631,S,UCONN,11,0,0,146,49.2,0,2,8,2.9,0.0,0,1,12.5,0,309,9,2,0,48.0,0,2,3,3.4,0.0,0,33.3,0,87,3,2
Shaun Bradley,42632,LB,TEMPLE,13,1,0,306,62.7,6,9,65,13.7,3.1,2,3,13.1,1,483,66,16,0,61.5,5,3,26,15.9,0.0,0,15.4,0,164,26,8
Brandon Bouyer-Randle,42637,LB,MICH STATE,4,0,0,223,58.7,1,0,17,58.8,5.9,1,0,2.9,0,34,20,1,0,60.9,1,0,6,46.7,16.7,1,8.3,0,15,7,1
Joe Headen,42645,S,DOMINION,12,0,0,263,60.0,0,0,1,0.6,0.0,0,1,0.0,0,159,1,0,0,,0,0,0,0.0,,0,,0,59,0,0
John Broussard,42651,S,MEMPHIS,5,0,0,218,52.2,0,1,2,3.3,0.0,0,0,25.0,0,61,2,1,0,,0,0,0,0.0,,0,,0,28,0,0
Lawson Hall,42652,LB,NEVADA,13,0,0,239,68.6,1,6,26,9.7,19.2,5,1,21.2,2,279,27,9,0,70.7,0,1,6,16.2,33.3,2,25.0,1,37,6,2
Clifford Chattman,42657,CB,TEXAS A&M,7,1,0,312,81.8,1,2,8,7.3,25.0,2,1,18.8,0,109,8,3,1,85.9,1,1,6,17.1,33.3,2,16.7,0,35,6,2
Justin Strnad,42659,LB,WAKE,7,0,0,339,54.3,0,1,25,12.6,4.0,1,1,10.0,2,230,29,3,0,62.6,0,0,4,11.6,0.0,0,25.0,1,43,5,1
Tavante Beckett,42663,LB,MARSHALL,13,2,1,214,66.7,7,9,85,18.5,5.9,5,2,11.8,2,476,88,18,0,70.5,3,3,30,26.1,10.0,3,13.3,1,119,31,7
Jake Ellington,42666,ED,ARMY,11,0,0,114,55.8,0,1,52,94.6,1.9,1,0,2.9,1,56,53,2,0,60.2,0,1,19,86.4,5.3,1,7.9,1,22,19,2
Dominique Ross,42667,LB,N CAROLINA,12,0,0,245,71.6,0,10,79,21.5,7.6,6,1,8.9,2,381,82,12,0,63.1,0,6,27,22.3,14.8,4,11.1,0,121,27,6
Mike Hampton,42669,CB,USF,12,0,0,327,59.0,0,0,2,0.5,0.0,0,4,0.0,0,364,2,0,0,59.7,0,0,1,1.1,0.0,0,0.0,0,94,1,0
Mike Palmer,42674,S,BOSTON COL,11,0,0,121,56.4,0,1,10,3.1,20.0,2,1,5.0,0,353,11,1,0,59.5,0,1,5,4.4,40.0,2,10.0,0,137,6,1
Jalen Walker,42675,CB,BOISE ST,14,0,0,120,43.3,0,0,6,1.6,0.0,0,6,0.0,0,432,7,0,0,59.1,0,0,1,0.7,0.0,0,0.0,0,139,1,0
Malik Antoine,42676,S,STANFORD,9,0,0,300,63.7,0,1,4,1.2,25.0,1,0,12.5,0,327,4,1,0,64.9,0,1,3,2.3,33.3,1,16.7,0,130,3,1
Isaiah Graham-Mobley,42679,LB,TEMPLE,8,0,0,306,59.9,1,6,20,15.6,10.0,2,0,17.5,0,135,21,7,0,51.9,0,3,6,12.8,0.0,0,25.0,0,47,6,3
Jordan Woods,42686,DI,FIU,13,0,2,166,55.2,0,3,151,100.0,2.6,4,5,1.0,0,162,162,3,0,56.8,0,2,45,100.0,6.7,3,2.2,0,49,49,2
Tyreek Maddox-Williams,42694,LB,RUTGERS,12,0,0,278,52.2,0,5,60,24.4,3.3,2,1,5.8,1,271,66,6,0,56.6,0,4,21,24.5,9.5,2,14.3,1,106,26,5
Demetrius Cain,42697,LB,W KENTUCKY,8,0,0,346,52.3,0,0,12,41.4,0.0,0,0,0.0,0,29,12,0,0,54.0,0,0,6,66.7,0.0,0,0.0,0,9,6,0
Gerrit Choate,42702,LB,SMU,7,0,0,287,62.9,0,0,16,44.7,6.3,1,0,0.0,0,38,17,0,0,61.0,0,0,7,70.0,14.3,1,0.0,0,10,7,0
Shaq Smith,42707,ED,MARYLAND,11,2,1,215,58.7,7,9,228,89.4,3.9,9,2,3.9,1,265,237,17,0,60.2,4,3,71,93.5,8.5,6,4.9,0,77,72,7
Jeremy Darvin,42713,DI,W KENTUCKY,9,0,0,346,78.3,6,4,130,100.0,10.8,14,2,6.2,3,143,143,13,0,79.7,4,4,50,100.0,18.0,9,12.0,2,57,57,10
Ryan Bowman,42714,ED,WASHINGTON,13,1,1,340,72.4,0,23,279,94.9,11.5,32,4,6.3,6,312,296,29,0,60.1,0,7,93,93.4,9.7,9,5.9,2,106,99,9
Chauncey Golston,42718,ED,IOWA,13,5,0,192,64.9,6,20,437,98.1,7.6,33,1,3.4,2,462,453,28,2,65.0,4,12,193,100.0,11.4,22,4.7,1,197,197,17
Collin Miller,42725,LB,NEBRASKA,12,2,0,238,72.0,2,3,42,17.1,14.3,6,0,10.7,2,257,44,7,0,69.6,1,1,17,17.3,17.6,3,11.8,1,104,18,3
Zach Hannibal,42732,CB,LA TECH,9,0,0,208,77.1,1,1,4,4.9,25.0,1,0,25.0,0,81,4,2,0,63.0,1,0,1,2.8,100.0,1,50.0,0,36,1,1
Spencer Eason-Riddle,42747,LB,S CAROLINA,1,0,0,289,59.5,0,0,1,6.3,0.0,0,0,0.0,0,16,1,0,0,59.5,0,0,1,11.1,0.0,0,0.0,0,9,1,0
Osa Odighizuwa,42754,DI,UCLA,12,2,2,324,79.1,3,21,344,98.1,11.0,38,3,4.9,5,365,358,29,1,78.6,2,9,116,99.2,16.4,19,7.3,3,122,121,14
Cameron Murray,42756,DI,OKLA STATE,13,3,0,262,63.8,5,15,322,99.1,5.9,19,0,3.7,2,348,345,22,1,67.7,2,8,110,99.2,10.9,12,5.5,1,122,121,11
Carlos Becker III,42759,S,FLORIDA ST,9,0,0,167,81.6,0,0,11,11.2,9.1,1,3,18.2,2,98,11,2,0,90.6,0,0,4,13.3,25.0,1,50.0,2,30,4,2
Greg Ross,42760,CB,N CAROLINA,9,0,1,245,52.2,0,0,3,1.5,0.0,0,3,0.0,0,263,4,0,0,58.3,0,0,1,1.2,0.0,0,0.0,0,84,1,0
Nick Heninger,42766,ED,UTAH ST,13,1,0,329,68.5,5,11,144,85.2,11.1,16,0,9.7,6,182,155,22,1,70.1,3,6,50,100.0,16.0,8,15.0,3,56,56,12
Elijah Diarrassouba,42767,DI,APP STATE,13,0,0,108,59.5,1,3,171,98.9,4.7,8,0,2.3,2,184,182,6,0,61.9,0,2,36,100.0,11.1,4,5.6,1,37,37,3
Lorenzo Dantzler,42768,ED,UTSA,12,1,0,331,70.2,3,18,160,95.6,11.9,19,2,10.3,6,182,174,27,0,73.9,1,12,61,97.1,19.7,12,18.9,5,69,67,18
Kailien Guillory,42769,ED,W MICHIGAN,13,0,0,347,60.5,1,4,129,96.5,5.4,7,0,2.7,1,141,136,6,0,56.8,0,1,32,94.4,6.3,2,1.6,0,36,34,1
DeMarcus Lloyd,42778,LB,AKRON,1,0,0,102,59.8,0,0,1,33.3,0.0,0,0,0.0,0,3,1,0,0,59.8,0,0,1,50.0,0.0,0,0.0,0,2,1,0
Markell Utsey,42779,DI,MISSOURI,12,0,0,229,55.0,1,7,114,100.0,3.5,4,3,3.5,0,119,119,8,0,63.5,1,5,34,100.0,11.8,4,8.8,0,35,35,6
Aymiel Fleming,42780,DI,HOUSTON,12,0,0,182,52.8,0,4,259,99.6,1.5,4,2,0.8,0,275,274,4,0,55.1,0,3,69,100.0,4.3,3,2.2,0,76,76,3
Bryson Young,42790,ED,OREGON,13,0,0,264,58.1,1,14,193,65.8,6.2,12,0,5.4,3,313,206,18,0,65.5,0,8,72,69.4,12.5,9,8.3,2,108,75,10
Donavan Lynch,42795,ED,ARMY,8,0,1,114,65.0,1,4,43,59.7,9.3,4,1,10.5,2,77,46,7,0,64.7,0,2,13,68.4,15.4,2,7.7,0,19,13,2
Ajani Kerr,42797,CB,GA TECH,5,0,0,176,56.5,0,0,5,7.7,0.0,0,0,0.0,0,65,5,0,0,59.2,0,0,1,5.3,0.0,0,0.0,0,19,1,0
Shaka Toney,42806,ED,PENN STATE,13,0,2,266,79.9,2,33,321,94.4,13.4,43,3,7.9,8,360,340,43,0,73.4,2,18,143,96.8,18.2,26,10.5,5,154,149,25
Anthony Watts,42807,DI,PURDUE,11,0,0,273,62.6,1,14,274,100.0,6.2,17,0,3.5,2,289,289,17,0,63.5,1,10,124,100.0,8.9,11,6.0,2,130,130,13
Marcus Strong,42814,CB,WASH STATE,13,0,0,341,62.9,0,1,8,2.0,0.0,0,6,18.8,1,456,9,2,0,68.9,0,1,2,2.0,0.0,0,75.0,1,152,3,2
Mike Maskalunas,42820,LB,WISCONSIN,6,0,0,349,59.8,0,0,8,11.0,0.0,0,0,0.0,0,73,8,0,0,55.8,0,0,3,11.1,0.0,0,0.0,0,27,3,0
Chandon Hickerson,42822,ED,E CAROLINA,3,0,0,156,55.0,0,3,39,100.0,5.1,2,0,3.8,0,39,39,3,0,54.4,0,1,16,100.0,6.3,1,3.1,0,16,16,1
Jordan Fehr,42823,LB,APP STATE,14,1,0,108,69.2,2,13,74,16.0,12.2,9,1,12.8,2,513,82,17,0,71.4,0,2,25,15.2,16.0,4,8.0,1,165,25,3
Kendall Coleman,42826,ED,SYRACUSE,12,2,0,304,76.6,18,15,303,96.6,10.9,33,1,7.4,6,327,316,39,0,80.3,9,7,94,96.1,19.1,18,11.7,3,103,99,19
Tommy Dawkins Jr.,42832,ED,APP STATE,13,0,0,108,61.0,0,3,91,100.0,4.4,4,0,4.9,3,94,94,6,0,55.6,0,2,20,100.0,5.0,1,5.0,0,20,20,2
Chase Lucas,42833,CB,ARIZONA ST,13,0,0,110,58.2,0,1,5,1.2,0.0,0,0,10.0,0,421,5,1,0,65.1,0,0,1,0.7,0.0,0,0.0,0,144,1,0
Willie Baker,42835,ED,LA TECH,11,0,0,208,65.5,7,25,248,71.8,8.1,20,2,6.9,1,355,255,33,0,71.4,5,18,109,87.5,16.5,18,10.6,0,128,112,23
Paul Carothers,42836,LB,NAVY,12,0,0,237,63.9,5,6,49,33.6,6.1,3,1,19.4,4,152,51,15,0,57.5,3,2,20,40.7,5.0,1,22.5,2,54,22,7
Terrell Lewis,42845,ED,ALABAMA,11,2,0,103,85.9,7,35,241,86.3,15.4,37,2,11.2,6,299,258,48,0,77.0,2,15,88,87.2,20.5,18,14.2,4,109,95,21
Leni Toailoa,42858,LB,UCLA,11,0,0,324,55.0,0,4,66,30.5,7.6,5,0,6.1,2,226,69,6,0,59.2,0,2,17,22.0,11.8,2,11.8,1,82,18,3
Xavier Kelly,42863,DI,CLEMSON,8,0,0,140,70.4,3,3,36,100.0,11.1,4,0,11.1,1,37,37,7,0,59.6,1,0,13,100.0,0.0,0,3.8,0,13,13,1
Justus Rogers,42865,LB,WASH STATE,13,0,0,341,64.3,3,6,66,17.1,7.6,5,3,9.8,2,415,71,11,0,67.1,2,4,32,23.6,9.4,3,15.6,2,144,34,8
Omari Cobb,42867,LB,MARSHALL,13,0,1,214,60.7,5,6,81,17.6,1.2,1,1,10.5,3,477,84,14,0,60.0,3,2,29,25.4,3.4,1,12.1,1,118,30,6
Curtis Robinson,42871,LB,STANFORD,11,0,0,300,85.5,2,5,40,10.3,30.0,12,0,13.8,2,397,41,9,0,90.8,2,5,22,14.8,50.0,11,25.0,2,155,23,9
Avery Williams,42873,CB,BOISE ST,14,0,0,120,45.7,0,1,4,0.9,0.0,0,6,12.5,0,465,4,1,0,57.9,0,0,2,1.3,0.0,0,0.0,0,149,2,0
Charles Oliver,42876,CB,TEXAS A&M,11,0,0,312,55.7,0,0,4,1.3,0.0,0,3,0.0,0,301,4,0,0,55.8,0,0,3,3.1,0.0,0,0.0,0,97,3,0
D.C. Williams,42880,CB,VANDERBILT,7,0,0,333,56.1,0,0,1,1.8,0.0,0,1,0.0,0,111,2,0,0,,0,0,0,0.0,,0,,0,34,0,0
Logan Latin,42882,CB,LA MONROE,11,0,0,209,55.3,1,4,21,19.8,4.8,1,1,11.9,0,116,23,5,0,58.1,1,2,13,42.9,0.0,0,11.5,0,35,15,3
Troy Pride Jr.,42883,CB,NOTRE DAME,13,0,0,258,58.3,0,0,1,0.3,0.0,0,4,0.0,0,389,1,0,0,,0,0,0,0.0,,0,,0,130,0,0
Jarrion Street,42887,CB,UAB,1,0,0,321,74.1,0,0,2,6.9,0.0,0,1,50.0,1,29,2,1,0,75.8,0,0,1,20.0,0.0,0,100.0,1,5,1,1
Grant Morgan,42888,LB,ARKANSAS,10,0,0,111,65.0,0,3,14,22.4,7.1,1,0,17.9,1,67,15,4,0,67.8,0,2,11,33.3,9.1,1,18.2,1,33,11,3
Kristian Fulton,42894,CB,LSU,15,0,0,211,45.2,0,0,10,1.8,0.0,0,6,0.0,0,546,10,0,0,51.7,0,0,3,1.4,0.0,0,0.0,0,210,3,0
Jahad Woods,42896,LB,WASH STATE,13,0,0,341,72.0,4,10,51,12.9,11.8,6,0,19.6,3,435,56,17,0,77.4,1,9,27,21.2,18.5,5,29.6,3,146,31,13
Kylan Stribling,42902,S,MIDDLE TN,9,0,0,224,53.8,0,1,8,5.4,0.0,0,1,6.3,0,147,8,1,0,,0,0,0,0.0,,0,,0,45,0,0
Lorenzo Burns,42903,CB,ARIZONA,12,0,0,109,59.7,0,0,1,0.3,0.0,0,3,0.0,0,399,1,0,0,,0,0,0,0.0,,0,,0,110,0,0
Joshua Bailey,42907,DI,IOWA STATE,3,0,0,193,58.1,0,0,6,100.0,0.0,0,0,0.0,0,6,6,0,0,58.8,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Rachuan Mitchell,42909,CB,SO MISS,12,0,0,296,60.0,2,2,19,4.5,15.8,3,3,10.5,0,420,19,4,0,63.9,2,1,11,8.8,27.3,3,13.6,0,125,11,3
Deon Edwards,42912,ED,ARKANSAS,2,0,0,111,60.0,0,0,1,20.0,0.0,0,0,0.0,0,5,1,0,0,,0,0,0,,,0,,0,0,0,0
Dicaprio Bootle,42913,CB,NEBRASKA,12,0,1,238,59.2,1,1,6,1.5,0.0,0,2,16.7,0,412,6,2,0,66.5,0,1,2,1.2,0.0,0,25.0,0,167,2,1
Javonte Lain,42916,DI,GA STATE,9,0,0,175,63.3,1,4,63,100.0,9.5,6,1,4.0,0,69,69,5,0,57.8,0,2,20,100.0,10.0,2,5.0,0,22,22,2
Kobe Burse,42924,LB,MIAMI OH,12,0,0,221,46.4,0,3,13,9.4,0.0,0,0,11.5,0,138,13,3,0,44.7,0,3,7,14.3,0.0,0,21.4,0,49,7,3
P.J. Hall,42928,S,TULANE,13,0,0,319,61.5,0,1,6,1.6,16.7,1,4,8.3,0,384,6,1,0,46.7,0,1,4,2.9,0.0,0,12.5,0,136,4,1
Nigel Warrior,42930,S,TENNESSEE,13,0,0,307,79.0,0,1,3,0.7,66.7,2,3,16.7,0,432,3,1,0,69.7,0,0,1,0.6,100.0,1,0.0,0,172,1,0
Chris Tooley,42936,CB,FAU,14,0,3,165,57.7,0,3,13,3.1,7.7,1,7,11.5,0,454,14,3,0,54.5,0,2,3,2.0,0.0,0,33.3,0,148,3,2
Jamar Watson,42938,ED,KENTUCKY,13,0,0,202,89.5,4,28,164,61.6,22.6,37,1,13.4,6,279,172,38,0,89.9,1,18,81,80.6,27.2,22,15.4,3,103,83,22
Jacobi Francis,42941,CB,MEMPHIS,14,0,2,218,52.4,0,1,6,1.7,0.0,0,7,8.3,0,355,6,1,0,56.1,0,1,2,1.5,0.0,0,25.0,0,131,2,1
Chris Brown,42952,S,TEXAS,10,1,0,311,57.0,1,2,38,11.2,5.3,2,2,3.9,0,348,39,3,0,50.0,0,1,14,14.9,0.0,0,3.6,0,94,14,1
Coney Durr,42953,CB,MINNESOTA,13,0,0,225,52.4,0,0,4,1.6,0.0,0,0,0.0,0,306,5,0,0,,0,0,0,0.0,,0,,0,102,0,0
Noah Burks,42956,ED,WISCONSIN,14,0,0,349,56.5,2,8,197,65.9,6.6,13,5,4.1,3,323,213,13,0,59.0,0,5,74,67.3,12.2,9,6.1,2,113,76,7
Thomas Pickens,42970,S,MEMPHIS,14,0,1,218,77.5,2,9,49,21.9,10.2,5,4,15.3,2,247,54,13,0,80.3,0,5,22,32.9,13.6,3,15.9,1,76,25,6
Elias Reynolds,42976,LB,PITTSBURGH,3,0,0,268,64.2,1,0,18,27.7,5.6,1,0,13.9,2,65,18,3,0,68.6,1,0,11,39.3,9.1,1,22.7,2,28,11,3
Jared Dorsa,42981,LB,OHIO,11,0,0,259,57.5,2,8,68,19.5,7.4,5,0,8.8,1,354,69,11,0,63.6,2,5,27,25.2,11.1,3,16.7,1,111,28,8
Will Evans,42984,ED,OHIO,13,0,0,259,66.8,7,19,257,93.6,10.9,28,3,5.4,1,295,276,27,0,68.0,1,10,93,92.5,15.1,14,5.9,0,106,98,11
Isaac Garcia,42988,ED,OREGON ST,6,0,0,265,58.8,2,2,58,98.4,5.2,3,0,3.4,0,61,60,4,0,58.8,1,1,34,100.0,2.9,1,2.9,0,36,36,2
Dylan Silcox,42991,LB,RICE,4,0,0,275,54.2,0,1,4,19.0,25.0,1,0,12.5,0,21,4,1,0,54.2,0,1,4,57.1,25.0,1,12.5,0,7,4,1
Khalid Kareem,42993,ED,NOTRE DAME,13,2,0,258,86.6,5,33,294,99.7,18.4,54,3,8.5,6,310,309,44,1,85.3,3,21,113,99.2,30.1,34,13.3,3,121,120,27
Amadeo West,42997,ED,ARMY,3,0,0,114,61.8,0,5,38,67.2,5.3,2,1,6.6,0,61,41,5,0,67.1,0,3,19,67.7,10.5,2,7.9,0,31,21,3
JoVanni Stewart,43001,CB,W VIRGINIA,4,1,0,343,59.4,0,0,7,6.9,0.0,0,0,0.0,0,102,7,0,0,57.1,0,0,2,5.4,0.0,0,0.0,0,37,2,0
Tyreic Martin,43002,DI,MIAMI FL,1,0,0,220,59.1,0,0,3,100.0,0.0,0,0,0.0,0,3,3,0,0,,0,0,0,,,0,,0,0,0,0
Myles Reid,43006,LB,MIAMI OH,13,0,0,221,69.6,1,12,50,12.4,14.0,7,1,17.0,2,429,53,15,0,60.3,0,8,22,14.0,13.6,3,22.7,1,179,25,9
Damon Hayes,43007,CB,RUTGERS,12,0,2,278,55.0,0,1,7,2.3,0.0,0,7,7.1,0,349,8,1,0,59.0,0,0,1,0.8,0.0,0,0.0,0,126,1,0
Sci Martin Jr.,43008,ED,MISSOURI,1,0,0,229,59.6,0,0,0,50.0,,0,0,,0,2,1,0,0,,0,0,0,,,0,,0,0,0,0
James King,43009,ED,AKRON,2,0,0,102,53.5,0,1,3,42.9,0.0,0,0,16.7,0,7,3,1,0,57.5,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Elijah Hamilton,43012,CB,VANDERBILT,2,0,0,333,70.9,0,1,1,12.5,0.0,0,0,50.0,0,8,1,1,0,70.9,0,1,1,20.0,0.0,0,50.0,0,5,1,1
Jonathon Cooper,43021,ED,OHIO STATE,4,0,0,260,74.8,0,9,66,97.2,21.2,14,1,6.8,0,72,70,9,0,76.4,0,7,29,93.9,34.5,10,12.1,0,33,31,7
Marquel Dismuke,43025,S,NEBRASKA,12,0,0,238,54.1,1,0,9,2.8,0.0,0,1,5.6,0,393,11,1,0,58.2,1,0,1,1.3,0.0,0,50.0,0,160,2,1
Caleb Kelly,43026,LB,OKLAHOMA,4,0,0,261,59.9,0,1,6,11.7,0.0,0,1,8.3,0,60,7,1,0,54.8,0,0,3,16.7,0.0,0,0.0,0,24,4,0
