player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Camryn Bynum,38408,CB,CAL,13,1,0,130,68.3,0,2,10,2.1,10.0,1,2,10.0,0,523,11,2,1,83.4,0,2,4,1.9,25.0,1,25.0,0,208,4,2
Cameron Goode,38410,ED,CAL,12,1,0,130,65.4,7,21,325,74.2,8.0,26,0,6.8,8,449,333,36,1,65.2,2,11,148,85.7,11.5,17,6.4,3,175,150,16
Eperone Moananu,38417,DI,HAWAII,11,0,0,180,55.2,1,1,72,100.0,1.4,1,1,1.4,0,77,77,2,0,60.5,0,1,11,100.0,9.1,1,4.5,0,13,13,1
Vic Viramontes,38446,LB,UNLV,7,0,0,325,55.1,0,0,4,6.0,0.0,0,0,0.0,0,84,5,0,0,59.1,0,0,1,4.8,0.0,0,0.0,0,21,1,0
Ryan Beecher,38464,LB,STANFORD,7,0,0,300,74.0,0,2,8,8.3,25.0,2,0,12.5,0,96,8,2,0,72.0,0,2,4,11.4,25.0,1,25.0,0,35,4,2
Casey Toohill,38472,ED,STANFORD,12,1,0,300,68.0,11,19,338,84.9,11.2,38,1,6.8,8,417,354,38,0,68.2,7,11,139,85.5,14.4,20,8.6,3,172,147,21
Traveon Beck,38490,CB,CAL,10,0,1,130,63.2,0,2,11,4.0,9.1,1,2,18.2,1,277,11,3,0,59.1,0,0,1,0.8,0.0,0,0.0,0,129,1,0
Josh Drayden,38498,CB,CAL,4,0,0,130,55.8,0,0,2,2.4,0.0,0,0,0.0,0,85,2,0,0,,0,0,0,0.0,,0,,0,34,0,0
Viane Moala,38501,DI,UTAH,13,2,0,328,67.4,0,8,136,98.6,8.8,12,0,4.4,2,143,141,10,1,70.7,0,5,70,100.0,12.9,9,6.4,2,72,72,7
Jeremiah Pritchard,38502,LB,HAWAII,12,0,0,180,65.9,4,5,37,13.0,10.8,4,3,14.9,1,293,38,10,0,59.9,2,1,19,21.8,0.0,0,7.9,0,87,19,3
